esg_id,date_id,region_id,asset_id,energy_consumption_kwh,co2_emissions_kg,water_consumption_m3,waste_kg,renewable_energy_share
246,20240206,1,39,2297.88,765.75,10.71,16.61,26.69
247,20240617,1,18,1060.05,360.37,6.19,12.51,25.01
248,20240820,1,246,488.51,163.57,2.18,6.51,26.29
249,20240721,3,236,356.19,111.25,2.08,4.91,31.92
250,20241224,1,125,1820.73,599.09,9.42,19.4,27.74
251,20240131,3,193,105.0,32.86,0.61,1.29,31.75
252,20240626,1,93,1318.62,454.92,3.58,12.11,23.75
253,20250226,1,237,1833.05,603.73,5.39,9.24,27.66
254,20240815,3,60,732.68,233.43,2.43,3.46,30.35
255,20240123,3,99,1211.72,395.02,3.62,7.36,28.5
256,20251201,1,199,195.34,61.9,1.12,1.04,30.78
257,20241018,1,246,605.26,204.19,3.73,7.47,25.66
258,20240602,3,225,1050.76,344.94,3.9,7.19,27.93
259,20250912,4,163,1171.64,371.97,4.55,13.56,30.63
260,20250525,2,19,1058.22,321.19,6.37,14.14,34.12
261,20250312,2,241,99.48,28.46,0.54,0.43,38.48
262,20251129,4,11,840.11,255.73,2.65,7.69,33.9
263,20251031,5,249,2188.02,650.98,12.97,9.31,35.62
264,20251212,1,153,2173.28,685.54,5.78,11.27,31.14
265,20241210,3,105,1415.92,425.29,5.92,10.24,34.91
266,20250717,2,35,1196.69,336.13,3.16,7.3,39.78
267,20241203,1,157,2240.97,764.62,5.89,28.62,24.7
268,20240621,3,206,85.74,27.42,0.28,0.45,30.05
269,20250820,1,135,158.25,52.58,0.79,2.02,26.93
270,20251115,4,144,1808.6,550.97,8.7,19.85,33.84
271,20250716,3,99,1074.73,319.97,3.53,7.48,35.57
272,20250712,2,67,88.3,25.13,0.55,1.09,38.86
273,20240524,1,122,1183.11,387.82,3.14,14.61,28.05
274,20251203,4,144,1685.79,503.71,6.94,15.34,35.3
275,20250507,1,75,1781.56,562.33,5.36,8.75,31.09
276,20241230,1,196,1319.74,435.2,7.26,12.29,27.56
277,20250827,1,27,1613.78,517.7,7.35,12.28,29.8
278,20240404,2,238,90.66,28.01,0.31,0.87,32.77
279,20240716,3,216,903.85,292.02,3.13,10.94,29.23
280,20240523,1,41,2053.16,688.3,8.86,18.83,26.19
281,20251023,1,64,1461.44,461.7,6.87,17.44,31.02
282,20250520,2,172,1224.78,317.61,7.64,4.92,45.17
283,20250812,1,2,1463.25,472.92,7.27,7.73,29.2
284,20250717,5,76,575.98,186.25,1.73,3.06,29.16
285,20240225,4,80,1454.02,471.74,9.35,13.77,28.89
286,20240402,1,210,620.76,214.14,3.82,6.67,23.76
287,20250112,1,75,2899.4,941.26,10.4,31.35,28.84
288,20251024,4,161,327.35,100.39,1.72,4.3,33.33
289,20240927,3,225,1391.09,439.81,5.45,15.06,30.96
290,20251105,1,182,1878.37,589.06,7.83,12.6,31.6
291,20251026,5,76,776.81,236.55,3.82,10.77,33.87
292,20250810,2,238,73.78,20.55,0.21,0.7,40.36
293,20241228,3,236,393.36,122.04,2.5,3.31,32.44
294,20250304,2,143,692.2,193.32,2.54,2.98,40.18
295,20250325,2,114,744.92,211.14,3.85,7.37,39.14
296,20250511,5,249,1906.43,586.27,8.14,13.85,33.12
297,20251008,1,224,1619.0,519.63,9.02,22.0,29.76
298,20250115,4,46,1298.88,405.82,4.52,16.66,31.89
299,20241130,2,55,758.52,214.05,3.79,5.36,39.45
300,20250925,3,40,1584.39,459.41,8.17,19.91,37.51
301,20240216,1,224,2045.16,691.18,9.41,8.19,25.51
302,20250529,5,155,136.49,43.14,0.79,1.55,30.98
303,20240111,2,57,934.45,280.56,5.44,10.49,34.94
304,20250216,5,234,2058.19,693.28,5.5,12.82,25.79
305,20250724,3,15,1087.64,327.21,5.71,4.46,34.79
306,20240617,5,234,1598.4,519.99,8.17,21.3,28.67
307,20240102,4,156,1416.72,470.8,4.55,8.32,26.92
308,20250816,1,185,145.4,45.59,0.67,0.59,31.61
309,20240728,2,242,507.55,149.38,2.73,5.58,36.42
310,20251016,1,171,138.28,45.39,0.66,1.83,27.93
311,20251121,4,170,943.72,300.22,4.15,11.48,30.47
312,20240219,4,101,410.83,135.44,1.35,4.59,27.58
313,20241005,3,211,1526.06,472.96,6.72,18.66,32.52
314,20240814,1,185,127.43,43.42,0.64,0.54,24.81
315,20240622,1,71,1789.79,582.68,11.25,19.09,28.61
316,20250610,4,163,1001.32,311.73,5.19,13.37,32.17
317,20240824,1,145,173.42,58.35,0.44,1.04,25.89
318,20240715,2,228,856.55,255.05,4.68,4.73,35.56
319,20250928,1,18,1092.45,343.86,4.07,12.82,31.31
320,20250812,2,143,554.75,157.35,3.17,2.23,39.09
321,20250408,2,24,648.54,190.52,2.63,8.42,36.56
322,20250912,2,48,79.91,22.42,0.4,1.02,39.86
323,20251104,4,80,1447.79,459.82,5.15,11.44,30.6
324,20250131,2,241,102.33,29.32,0.44,0.51,38.36
325,20250721,2,90,91.7,25.51,0.34,0.69,40.46
326,20250218,1,227,1552.93,499.36,9.38,6.83,29.61
327,20240426,3,23,1475.6,459.5,3.89,7.46,32.15
328,20240819,4,144,1085.62,349.66,2.91,14.76,29.48
329,20240419,4,80,1352.44,424.88,4.39,5.92,31.46
330,20240116,1,27,2478.62,879.32,7.21,11.48,21.31
331,20250325,4,11,834.75,258.27,2.16,10.36,32.65
332,20240526,4,215,563.88,181.1,1.87,4.16,29.71
333,20240812,1,229,1173.32,383.3,7.5,14.17,28.33
334,20250518,4,208,592.99,190.66,2.17,4.84,29.62
335,20251214,2,198,115.89,33.42,0.71,0.92,37.9
336,20250122,1,133,1717.66,550.34,10.09,8.21,29.9
337,20241010,1,47,2138.51,708.27,9.86,29.27,27.2
338,20250506,3,40,1631.27,504.58,6.62,10.97,32.67
339,20250223,2,19,1443.74,422.38,5.35,9.63,36.86
340,20250510,4,120,1117.78,345.39,6.73,4.8,32.75
341,20250321,2,183,704.34,206.6,3.31,8.68,36.67
342,20240405,1,182,2211.47,731.47,13.23,15.15,27.31
343,20240311,5,249,1928.96,673.98,9.04,9.38,22.65
344,20241211,5,149,1445.8,491.69,4.45,18.65,24.98
345,20240607,3,102,107.46,34.6,0.5,1.25,29.5
346,20240426,1,248,2268.83,766.5,12.46,30.18,25.54
347,20240710,1,248,1818.41,607.86,8.17,14.57,26.43
348,20250706,3,235,790.62,254.14,2.1,4.44,29.64
349,20240715,2,242,557.19,166.51,3.42,6.9,35.29
350,20250604,5,66,107.33,34.4,0.33,0.77,29.88
351,20251117,3,211,1843.09,534.5,8.13,15.69,37.5
352,20250801,4,72,1060.09,328.03,6.64,11.41,32.64
353,20250811,1,64,1322.63,421.92,6.88,12.83,30.25
354,20250727,1,171,148.25,47.74,0.68,1.07,29.5
355,20240229,1,125,1493.12,491.3,5.58,19.18,27.74
356,20251129,1,191,146.5,46.63,0.6,1.26,30.42
357,20250203,3,202,148.42,47.42,0.88,2.08,30.13
358,20241003,4,46,979.15,316.81,5.4,4.68,29.11
359,20251214,5,29,1759.66,512.69,9.03,11.45,37.16
360,20250603,2,110,1078.7,308.16,4.32,6.9,38.58
361,20250316,1,151,495.34,158.55,2.24,2.34,29.98
362,20250601,1,160,129.92,42.42,0.52,1.11,28.38
363,20251124,5,234,1927.46,593.35,9.1,25.96,33.04
364,20240305,1,154,1862.42,625.33,6.36,21.25,26.06
365,20240726,1,61,1898.58,663.36,9.88,26.4,22.65
366,20250103,5,149,1830.23,598.41,5.68,8.05,28.26
367,20241009,1,185,132.48,45.73,0.46,1.27,23.71
368,20251109,2,115,1485.93,408.45,5.78,20.73,41.28
369,20250930,4,72,1579.07,479.78,8.83,21.26,34.04
370,20250328,3,105,1301.28,409.38,8.4,16.91,31.35
371,20240322,4,124,115.21,37.44,0.71,0.76,28.76
372,20240109,3,236,550.84,181.34,2.03,3.94,27.7
373,20251129,4,121,418.92,125.01,1.97,3.46,35.4
374,20250825,3,100,1103.49,343.05,4.37,9.01,32.28
375,20251117,5,149,1282.26,375.55,4.91,10.6,36.78
376,20240512,3,36,92.06,29.26,0.49,0.67,30.53
377,20240127,3,23,1518.25,494.34,7.13,6.39,28.6
378,20251120,3,211,1850.17,549.13,5.18,10.67,35.8
379,20250410,4,239,423.94,128.91,1.5,1.8,33.98
380,20250512,4,124,104.31,32.54,0.27,1.1,32.0
381,20240817,3,167,629.9,205.17,3.09,2.6,28.57
382,20240813,4,62,979.59,318.8,2.52,13.61,28.64
383,20250319,4,170,760.34,237.93,4.3,5.12,31.77
384,20250723,5,222,348.17,111.48,1.84,4.73,29.95
385,20240509,3,138,1074.56,338.57,6.31,14.91,31.23
386,20251025,5,117,789.89,257.91,3.76,3.87,28.37
387,20251223,1,166,2046.4,600.66,11.3,9.99,36.62
388,20240325,2,12,729.64,222.83,3.03,7.8,33.65
389,20240421,3,28,657.49,215.71,1.82,5.93,27.98
390,20240302,1,132,645.15,226.06,2.53,3.97,22.4
391,20250406,1,246,576.22,180.33,2.67,6.91,31.76
392,20241103,5,33,1832.57,586.94,11.04,21.05,29.93
393,20250801,2,172,960.18,267.97,5.43,6.52,40.23
394,20240528,1,201,1023.61,333.53,4.36,9.96,28.54
395,20240104,1,237,2126.32,724.91,8.66,11.52,24.77
396,20240119,1,145,233.98,83.22,0.68,2.08,21.08
397,20240608,4,158,1205.29,402.33,5.53,15.44,26.55
398,20251013,1,142,445.68,136.93,2.81,5.56,33.19
399,20250521,3,40,1374.32,418.78,7.93,15.25,33.82
400,20240329,3,127,820.74,263.29,4.12,7.69,29.8
401,20250805,4,232,1080.98,332.16,2.89,8.77,33.18
402,20240524,2,242,594.52,178.97,2.75,7.0,34.74
403,20251011,3,216,1092.56,331.44,4.78,11.85,34.16
404,20251025,1,18,925.03,300.86,3.3,6.82,28.69
405,20250826,3,100,1329.78,385.9,5.73,16.21,37.45
406,20251218,2,207,736.39,202.45,4.08,8.15,41.27
407,20241122,2,67,125.75,38.0,0.42,1.72,34.45
408,20241203,1,237,1827.66,608.17,9.02,15.65,26.81
409,20250624,2,207,553.24,162.32,2.65,7.48,36.65
410,20251009,5,73,167.49,52.51,0.98,0.96,31.62
411,20250216,4,68,818.91,263.62,2.73,7.75,29.52
412,20240526,1,122,1314.42,436.02,7.88,16.88,27.07
413,20240921,3,148,1319.13,424.92,8.14,14.85,29.47
414,20250426,3,127,859.51,279.68,4.99,10.95,28.65
415,20240125,1,71,2509.3,859.79,14.78,30.81,24.34
416,20241007,2,48,106.25,31.17,0.37,0.51,36.65
417,20240223,1,231,2489.56,860.89,15.82,14.74,23.55
418,20240308,4,72,1385.59,461.73,8.44,13.45,26.69
419,20250506,4,69,611.3,183.32,2.47,6.75,35.03
420,20240113,4,80,1635.19,540.79,7.04,7.65,27.32
421,20250322,3,138,1359.73,415.21,7.46,14.02,33.66
422,20250104,5,81,1896.27,623.04,11.83,9.69,27.86
423,20250818,4,214,753.0,226.59,2.51,10.2,34.77
424,20250816,2,108,92.26,25.78,0.52,0.58,40.13
425,20250422,1,229,1394.2,437.22,5.92,15.79,31.6
426,20240905,3,14,1280.95,413.8,4.97,7.62,29.24
427,20240410,1,16,1458.4,478.88,6.54,6.16,27.91
428,20250122,5,91,1724.16,560.56,5.13,17.61,28.72
429,20251024,2,143,612.87,176.8,1.88,6.32,37.88
430,20241024,4,136,1341.27,436.66,3.65,13.75,28.61
431,20240209,3,78,1882.65,615.1,5.73,16.37,28.32
432,20250326,2,55,698.2,204.38,3.44,4.92,36.82
433,20241201,4,173,906.56,293.22,4.55,12.54,29.14
434,20250506,2,74,316.03,89.58,2.0,2.42,39.14
435,20250409,4,221,980.77,321.38,3.67,10.82,28.08
436,20240722,5,117,606.14,204.71,3.1,8.24,25.57
437,20240114,1,6,2520.63,874.26,11.04,18.64,23.29
438,20250630,5,34,854.34,274.24,3.5,4.82,29.75
439,20250928,2,238,79.45,22.56,0.25,0.54,39.01
440,20240527,4,144,1443.26,489.44,5.79,17.26,25.22
441,20240405,3,13,1382.01,439.15,8.75,9.87,30.56
442,20241014,1,157,1677.63,575.96,5.45,23.36,24.17
443,20240603,3,99,1163.6,375.05,6.91,7.83,29.42
444,20241218,1,64,1954.39,655.74,10.18,13.93,26.12
445,20250529,3,99,1068.18,323.7,3.97,14.67,34.24
446,20241226,5,188,129.04,41.15,0.35,1.79,30.28
447,20240224,4,121,520.65,168.4,3.38,5.53,29.14
448,20241217,2,241,130.78,39.44,0.39,1.09,34.61
449,20240103,1,210,566.81,196.73,2.53,5.14,23.23
450,20240609,1,65,1535.82,512.96,8.1,14.18,26.5
451,20240114,1,37,2282.58,751.61,13.27,24.2,27.68
452,20240602,3,165,1192.86,382.57,3.06,14.86,29.82
453,20240727,1,39,2031.79,666.26,5.84,12.78,28.02
454,20240418,1,191,138.49,48.34,0.45,0.62,22.74
