target_id,date_id,region_id,department_id,kpi_name,target_value,target_unit,target_period
118,20240201,3,3.0,Operating Margin,41.13,Percent,Monthly
119,20240201,3,4.0,Revenue,596637.66,EUR,Monthly
120,20240201,3,4.0,Operating Margin,32.09,Percent,Monthly
121,20240201,3,5.0,Revenue,403405.38,EUR,Monthly
122,20240201,3,5.0,Operating Margin,32.75,Percent,Monthly
123,20240201,3,6.0,Revenue,152091.26,EUR,Monthly
124,20240201,3,6.0,Operating Margin,40.63,Percent,Monthly
125,20240201,3,7.0,Revenue,305294.77,EUR,Monthly
126,20240201,3,7.0,Operating Margin,37.41,Percent,Monthly
127,20240201,3,8.0,Revenue,244974.31,EUR,Monthly
128,20240201,3,8.0,Operating Margin,32.78,Percent,Monthly
129,20240201,4,1.0,Revenue,64934.61,EUR,Monthly
130,20240201,4,1.0,Operating Margin,42.0,Percent,Monthly
131,20240201,4,2.0,Revenue,81593.05,EUR,Monthly
132,20240201,4,2.0,Operating Margin,39.48,Percent,Monthly
133,20240201,4,3.0,Revenue,434094.04,EUR,Monthly
134,20240201,4,3.0,Operating Margin,42.0,Percent,Monthly
135,20240201,4,4.0,Revenue,360478.06,EUR,Monthly
136,20240201,4,4.0,Operating Margin,29.84,Percent,Monthly
137,20240201,4,5.0,Revenue,266433.81,EUR,Monthly
138,20240201,4,5.0,Operating Margin,26.47,Percent,Monthly
139,20240201,4,6.0,Revenue,101035.18,EUR,Monthly
140,20240201,4,6.0,Operating Margin,37.03,Percent,Monthly
141,20240201,4,7.0,Revenue,192080.89,EUR,Monthly
142,20240201,4,7.0,Operating Margin,33.0,Percent,Monthly
143,20240201,4,8.0,Revenue,154384.32,EUR,Monthly
144,20240201,4,8.0,Operating Margin,31.39,Percent,Monthly
145,20240201,5,1.0,Revenue,27906.86,EUR,Monthly
146,20240201,5,1.0,Operating Margin,37.23,Percent,Monthly
147,20240201,5,2.0,Revenue,35108.02,EUR,Monthly
148,20240201,5,2.0,Operating Margin,27.0,Percent,Monthly
149,20240201,5,3.0,Revenue,178437.6,EUR,Monthly
150,20240201,5,3.0,Operating Margin,34.09,Percent,Monthly
151,20240201,5,4.0,Revenue,157028.51,EUR,Monthly
152,20240201,5,4.0,Operating Margin,13.01,Percent,Monthly
153,20240201,5,5.0,Revenue,111966.51,EUR,Monthly
154,20240201,5,5.0,Operating Margin,9.27,Percent,Monthly
155,20240201,5,6.0,Revenue,43091.79,EUR,Monthly
156,20240201,5,6.0,Operating Margin,25.59,Percent,Monthly
157,20240201,5,7.0,Revenue,84778.08,EUR,Monthly
158,20240201,5,7.0,Operating Margin,20.09,Percent,Monthly
159,20240201,5,8.0,Revenue,65200.92,EUR,Monthly
160,20240201,5,8.0,Operating Margin,16.52,Percent,Monthly
161,20240301,1,1.0,Revenue,206511.46,EUR,Monthly
162,20240301,1,1.0,Operating Margin,36.67,Percent,Monthly
163,20240301,1,2.0,Revenue,258916.24,EUR,Monthly
164,20240301,1,2.0,Operating Margin,32.79,Percent,Monthly
165,20240301,1,3.0,Revenue,1314748.12,EUR,Monthly
166,20240301,1,3.0,Operating Margin,35.93,Percent,Monthly
167,20240301,1,4.0,Revenue,1187532.61,EUR,Monthly
168,20240301,1,4.0,Operating Margin,24.11,Percent,Monthly
169,20240301,1,5.0,Revenue,827410.21,EUR,Monthly
170,20240301,1,5.0,Operating Margin,11.56,Percent,Monthly
171,20240301,1,6.0,Revenue,317648.42,EUR,Monthly
172,20240301,1,6.0,Operating Margin,28.64,Percent,Monthly
173,20240301,1,7.0,Revenue,643720.59,EUR,Monthly
174,20240301,1,7.0,Operating Margin,24.3,Percent,Monthly
175,20240301,1,8.0,Revenue,491600.98,EUR,Monthly
176,20240301,1,8.0,Operating Margin,19.99,Percent,Monthly
177,20240301,2,1.0,Revenue,146825.27,EUR,Monthly
178,20240301,2,1.0,Operating Margin,42.0,Percent,Monthly
179,20240301,2,2.0,Revenue,193224.11,EUR,Monthly
180,20240301,2,2.0,Operating Margin,42.0,Percent,Monthly
181,20240301,2,3.0,Revenue,1018943.82,EUR,Monthly
182,20240301,2,3.0,Operating Margin,41.18,Percent,Monthly
183,20240301,2,4.0,Revenue,795941.83,EUR,Monthly
184,20240301,2,4.0,Operating Margin,34.53,Percent,Monthly
185,20240301,2,5.0,Revenue,590683.46,EUR,Monthly
186,20240301,2,5.0,Operating Margin,35.77,Percent,Monthly
187,20240301,2,6.0,Revenue,231280.9,EUR,Monthly
188,20240301,2,6.0,Operating Margin,39.32,Percent,Monthly
189,20240301,2,7.0,Revenue,451166.42,EUR,Monthly
190,20240301,2,7.0,Operating Margin,38.84,Percent,Monthly
191,20240301,2,8.0,Revenue,344059.75,EUR,Monthly
192,20240301,2,8.0,Operating Margin,32.84,Percent,Monthly
193,20240301,3,1.0,Revenue,111620.13,EUR,Monthly
194,20240301,3,1.0,Operating Margin,42.0,Percent,Monthly
195,20240301,3,2.0,Revenue,134751.51,EUR,Monthly
196,20240301,3,2.0,Operating Margin,37.67,Percent,Monthly
197,20240301,3,3.0,Revenue,696874.29,EUR,Monthly
198,20240301,3,3.0,Operating Margin,37.27,Percent,Monthly
199,20240301,3,4.0,Revenue,603959.94,EUR,Monthly
200,20240301,3,4.0,Operating Margin,28.76,Percent,Monthly
201,20240301,3,5.0,Revenue,458531.0,EUR,Monthly
202,20240301,3,5.0,Operating Margin,23.1,Percent,Monthly
203,20240301,3,6.0,Revenue,164726.86,EUR,Monthly
204,20240301,3,6.0,Operating Margin,36.29,Percent,Monthly
205,20240301,3,7.0,Revenue,326585.32,EUR,Monthly
206,20240301,3,7.0,Operating Margin,29.63,Percent,Monthly
207,20240301,3,8.0,Revenue,248312.45,EUR,Monthly
208,20240301,3,8.0,Operating Margin,27.31,Percent,Monthly
209,20240301,4,1.0,Revenue,66158.65,EUR,Monthly
210,20240301,4,1.0,Operating Margin,42.0,Percent,Monthly
211,20240301,4,2.0,Revenue,84069.53,EUR,Monthly
212,20240301,4,2.0,Operating Margin,39.93,Percent,Monthly
213,20240301,4,3.0,Revenue,434312.07,EUR,Monthly
214,20240301,4,3.0,Operating Margin,41.38,Percent,Monthly
215,20240301,4,4.0,Revenue,375007.33,EUR,Monthly
216,20240301,4,4.0,Operating Margin,30.54,Percent,Monthly
217,20240301,4,5.0,Revenue,284366.77,EUR,Monthly
218,20240301,4,5.0,Operating Margin,27.85,Percent,Monthly
219,20240301,4,6.0,Revenue,100714.07,EUR,Monthly
220,20240301,4,6.0,Operating Margin,38.69,Percent,Monthly
221,20240301,4,7.0,Revenue,194359.26,EUR,Monthly
222,20240301,4,7.0,Operating Margin,34.28,Percent,Monthly
223,20240301,4,8.0,Revenue,148920.67,EUR,Monthly
224,20240301,4,8.0,Operating Margin,29.32,Percent,Monthly
225,20240301,5,1.0,Revenue,27817.35,EUR,Monthly
226,20240301,5,1.0,Operating Margin,32.22,Percent,Monthly
227,20240301,5,2.0,Revenue,35982.45,EUR,Monthly
228,20240301,5,2.0,Operating Margin,24.88,Percent,Monthly
229,20240301,5,3.0,Revenue,192083.1,EUR,Monthly
230,20240301,5,3.0,Operating Margin,34.35,Percent,Monthly
231,20240301,5,4.0,Revenue,157489.14,EUR,Monthly
232,20240301,5,4.0,Operating Margin,6.84,Percent,Monthly
233,20240301,5,5.0,Revenue,120353.02,EUR,Monthly
234,20240301,5,5.0,Operating Margin,8.95,Percent,Monthly
235,20240301,5,6.0,Revenue,44645.62,EUR,Monthly
236,20240301,5,6.0,Operating Margin,21.14,Percent,Monthly
237,20240301,5,7.0,Revenue,86747.67,EUR,Monthly
238,20240301,5,7.0,Operating Margin,13.98,Percent,Monthly
239,20240301,5,8.0,Revenue,67179.09,EUR,Monthly
240,20240301,5,8.0,Operating Margin,14.86,Percent,Monthly
241,20240401,1,1.0,Revenue,223910.74,EUR,Monthly
242,20240401,1,1.0,Operating Margin,39.8,Percent,Monthly
243,20240401,1,2.0,Revenue,264563.15,EUR,Monthly
244,20240401,1,2.0,Operating Margin,32.84,Percent,Monthly
245,20240401,1,3.0,Revenue,1355866.53,EUR,Monthly
246,20240401,1,3.0,Operating Margin,36.35,Percent,Monthly
247,20240401,1,4.0,Revenue,1171921.81,EUR,Monthly
248,20240401,1,4.0,Operating Margin,25.08,Percent,Monthly
249,20240401,1,5.0,Revenue,910153.91,EUR,Monthly
250,20240401,1,5.0,Operating Margin,17.57,Percent,Monthly
251,20240401,1,6.0,Revenue,319754.55,EUR,Monthly
252,20240401,1,6.0,Operating Margin,32.79,Percent,Monthly
253,20240401,1,7.0,Revenue,652019.54,EUR,Monthly
254,20240401,1,7.0,Operating Margin,26.69,Percent,Monthly
255,20240401,1,8.0,Revenue,489975.62,EUR,Monthly
256,20240401,1,8.0,Operating Margin,24.64,Percent,Monthly
257,20240401,2,1.0,Revenue,151731.25,EUR,Monthly
258,20240401,2,1.0,Operating Margin,42.0,Percent,Monthly
259,20240401,2,2.0,Revenue,186216.53,EUR,Monthly
260,20240401,2,2.0,Operating Margin,42.0,Percent,Monthly
261,20240401,2,3.0,Revenue,963299.29,EUR,Monthly
262,20240401,2,3.0,Operating Margin,42.0,Percent,Monthly
263,20240401,2,4.0,Revenue,834684.91,EUR,Monthly
264,20240401,2,4.0,Operating Margin,35.9,Percent,Monthly
265,20240401,2,5.0,Revenue,600333.53,EUR,Monthly
266,20240401,2,5.0,Operating Margin,36.02,Percent,Monthly
267,20240401,2,6.0,Revenue,219610.98,EUR,Monthly
268,20240401,2,6.0,Operating Margin,41.59,Percent,Monthly
269,20240401,2,7.0,Revenue,489400.85,EUR,Monthly
270,20240401,2,7.0,Operating Margin,36.16,Percent,Monthly
271,20240401,2,8.0,Revenue,331432.27,EUR,Monthly
272,20240401,2,8.0,Operating Margin,35.55,Percent,Monthly
273,20240401,3,1.0,Revenue,122126.25,EUR,Monthly
274,20240401,3,1.0,Operating Margin,42.0,Percent,Monthly
275,20240401,3,2.0,Revenue,146792.62,EUR,Monthly
276,20240401,3,2.0,Operating Margin,38.63,Percent,Monthly
277,20240401,3,3.0,Revenue,743589.55,EUR,Monthly
278,20240401,3,3.0,Operating Margin,40.17,Percent,Monthly
279,20240401,3,4.0,Revenue,612846.54,EUR,Monthly
280,20240401,3,4.0,Operating Margin,27.52,Percent,Monthly
281,20240401,3,5.0,Revenue,447855.21,EUR,Monthly
282,20240401,3,5.0,Operating Margin,23.79,Percent,Monthly
283,20240401,3,6.0,Revenue,177052.32,EUR,Monthly
284,20240401,3,6.0,Operating Margin,37.64,Percent,Monthly
285,20240401,3,7.0,Revenue,344559.8,EUR,Monthly
286,20240401,3,7.0,Operating Margin,31.96,Percent,Monthly
287,20240401,3,8.0,Revenue,265854.38,EUR,Monthly
288,20240401,3,8.0,Operating Margin,29.5,Percent,Monthly
289,20240401,4,1.0,Revenue,71934.98,EUR,Monthly
290,20240401,4,1.0,Operating Margin,42.0,Percent,Monthly
291,20240401,4,2.0,Revenue,88279.83,EUR,Monthly
292,20240401,4,2.0,Operating Margin,40.21,Percent,Monthly
293,20240401,4,3.0,Revenue,444497.87,EUR,Monthly
294,20240401,4,3.0,Operating Margin,41.61,Percent,Monthly
295,20240401,4,4.0,Revenue,384971.89,EUR,Monthly
296,20240401,4,4.0,Operating Margin,30.09,Percent,Monthly
297,20240401,4,5.0,Revenue,288569.73,EUR,Monthly
298,20240401,4,5.0,Operating Margin,25.46,Percent,Monthly
299,20240401,4,6.0,Revenue,105660.75,EUR,Monthly
300,20240401,4,6.0,Operating Margin,37.28,Percent,Monthly
301,20240401,4,7.0,Revenue,207838.53,EUR,Monthly
302,20240401,4,7.0,Operating Margin,33.31,Percent,Monthly
303,20240401,4,8.0,Revenue,152617.96,EUR,Monthly
304,20240401,4,8.0,Operating Margin,28.78,Percent,Monthly
305,20240401,5,1.0,Revenue,31779.8,EUR,Monthly
306,20240401,5,1.0,Operating Margin,37.07,Percent,Monthly
307,20240401,5,2.0,Revenue,40047.12,EUR,Monthly
308,20240401,5,2.0,Operating Margin,28.78,Percent,Monthly
309,20240401,5,3.0,Revenue,202312.0,EUR,Monthly
310,20240401,5,3.0,Operating Margin,35.65,Percent,Monthly
311,20240401,5,4.0,Revenue,162572.05,EUR,Monthly
312,20240401,5,4.0,Operating Margin,13.75,Percent,Monthly
313,20240401,5,5.0,Revenue,120355.86,EUR,Monthly
314,20240401,5,5.0,Operating Margin,7.67,Percent,Monthly
315,20240401,5,6.0,Revenue,44764.53,EUR,Monthly
316,20240401,5,6.0,Operating Margin,26.88,Percent,Monthly
317,20240401,5,7.0,Revenue,92801.06,EUR,Monthly
318,20240401,5,7.0,Operating Margin,19.11,Percent,Monthly
319,20240401,5,8.0,Revenue,65439.82,EUR,Monthly
320,20240401,5,8.0,Operating Margin,20.0,Percent,Monthly
321,20240501,1,1.0,Revenue,218990.79,EUR,Monthly
322,20240501,1,1.0,Operating Margin,37.86,Percent,Monthly
323,20240501,1,2.0,Revenue,274724.9,EUR,Monthly
324,20240501,1,2.0,Operating Margin,31.85,Percent,Monthly
325,20240501,1,3.0,Revenue,1471243.55,EUR,Monthly
326,20240501,1,3.0,Operating Margin,35.29,Percent,Monthly
327,20240501,1,4.0,Revenue,1258981.04,EUR,Monthly
328,20240501,1,4.0,Operating Margin,21.5,Percent,Monthly
329,20240501,1,5.0,Revenue,935427.5,EUR,Monthly
330,20240501,1,5.0,Operating Margin,17.09,Percent,Monthly
331,20240501,1,6.0,Revenue,334801.92,EUR,Monthly
332,20240501,1,6.0,Operating Margin,28.94,Percent,Monthly
333,20240501,1,7.0,Revenue,659971.94,EUR,Monthly
334,20240501,1,7.0,Operating Margin,24.85,Percent,Monthly
335,20240501,1,8.0,Revenue,497571.62,EUR,Monthly
336,20240501,1,8.0,Operating Margin,23.07,Percent,Monthly
337,20240501,2,1.0,Revenue,161948.83,EUR,Monthly
338,20240501,2,1.0,Operating Margin,42.0,Percent,Monthly
339,20240501,2,2.0,Revenue,195352.25,EUR,Monthly
340,20240501,2,2.0,Operating Margin,42.0,Percent,Monthly
341,20240501,2,3.0,Revenue,1042406.11,EUR,Monthly
342,20240501,2,3.0,Operating Margin,40.49,Percent,Monthly
343,20240501,2,4.0,Revenue,868593.58,EUR,Monthly
344,20240501,2,4.0,Operating Margin,33.6,Percent,Monthly
345,20240501,2,5.0,Revenue,649580.49,EUR,Monthly
346,20240501,2,5.0,Operating Margin,36.79,Percent,Monthly
347,20240501,2,6.0,Revenue,251742.41,EUR,Monthly
348,20240501,2,6.0,Operating Margin,38.41,Percent,Monthly
349,20240501,2,7.0,Revenue,458648.23,EUR,Monthly
350,20240501,2,7.0,Operating Margin,37.77,Percent,Monthly
351,20240501,2,8.0,Revenue,367314.66,EUR,Monthly
352,20240501,2,8.0,Operating Margin,34.08,Percent,Monthly
353,20240501,3,1.0,Revenue,123870.69,EUR,Monthly
354,20240501,3,1.0,Operating Margin,42.0,Percent,Monthly
355,20240501,3,2.0,Revenue,149319.84,EUR,Monthly
356,20240501,3,2.0,Operating Margin,40.35,Percent,Monthly
357,20240501,3,3.0,Revenue,754560.75,EUR,Monthly
358,20240501,3,3.0,Operating Margin,40.73,Percent,Monthly
359,20240501,3,4.0,Revenue,666176.81,EUR,Monthly
360,20240501,3,4.0,Operating Margin,31.14,Percent,Monthly
361,20240501,3,5.0,Revenue,484159.3,EUR,Monthly
362,20240501,3,5.0,Operating Margin,31.45,Percent,Monthly
363,20240501,3,6.0,Revenue,176907.4,EUR,Monthly
364,20240501,3,6.0,Operating Margin,40.3,Percent,Monthly
365,20240501,3,7.0,Revenue,348747.51,EUR,Monthly
366,20240501,3,7.0,Operating Margin,37.38,Percent,Monthly
367,20240501,3,8.0,Revenue,276841.18,EUR,Monthly
368,20240501,3,8.0,Operating Margin,32.52,Percent,Monthly
369,20240501,4,1.0,Revenue,70402.01,EUR,Monthly
370,20240501,4,1.0,Operating Margin,42.0,Percent,Monthly
371,20240501,4,2.0,Revenue,92343.14,EUR,Monthly
372,20240501,4,2.0,Operating Margin,42.0,Percent,Monthly
373,20240501,4,3.0,Revenue,447651.28,EUR,Monthly
374,20240501,4,3.0,Operating Margin,41.31,Percent,Monthly
375,20240501,4,4.0,Revenue,384409.52,EUR,Monthly
376,20240501,4,4.0,Operating Margin,29.78,Percent,Monthly
377,20240501,4,5.0,Revenue,274173.59,EUR,Monthly
378,20240501,4,5.0,Operating Margin,23.91,Percent,Monthly
379,20240501,4,6.0,Revenue,114272.94,EUR,Monthly
380,20240501,4,6.0,Operating Margin,37.86,Percent,Monthly
381,20240501,4,7.0,Revenue,208814.9,EUR,Monthly
382,20240501,4,7.0,Operating Margin,34.65,Percent,Monthly
383,20240501,4,8.0,Revenue,165361.29,EUR,Monthly
384,20240501,4,8.0,Operating Margin,31.29,Percent,Monthly
385,20240501,5,1.0,Revenue,32343.2,EUR,Monthly
386,20240501,5,1.0,Operating Margin,33.72,Percent,Monthly
387,20240501,5,2.0,Revenue,39224.39,EUR,Monthly
388,20240501,5,2.0,Operating Margin,24.57,Percent,Monthly
389,20240501,5,3.0,Revenue,195000.23,EUR,Monthly
390,20240501,5,3.0,Operating Margin,34.84,Percent,Monthly
391,20240501,5,4.0,Revenue,180690.64,EUR,Monthly
392,20240501,5,4.0,Operating Margin,10.43,Percent,Monthly
393,20240501,5,5.0,Revenue,127433.81,EUR,Monthly
394,20240501,5,5.0,Operating Margin,9.85,Percent,Monthly
395,20240501,5,6.0,Revenue,48551.63,EUR,Monthly
396,20240501,5,6.0,Operating Margin,24.99,Percent,Monthly
397,20240501,5,7.0,Revenue,97166.65,EUR,Monthly
398,20240501,5,7.0,Operating Margin,17.22,Percent,Monthly
399,20240501,5,8.0,Revenue,70599.74,EUR,Monthly
400,20240501,5,8.0,Operating Margin,16.81,Percent,Monthly
401,20240601,1,1.0,Revenue,217407.38,EUR,Monthly
402,20240601,1,1.0,Operating Margin,39.54,Percent,Monthly
403,20240601,1,2.0,Revenue,272358.56,EUR,Monthly
404,20240601,1,2.0,Operating Margin,33.06,Percent,Monthly
405,20240601,1,3.0,Revenue,1510761.82,EUR,Monthly
406,20240601,1,3.0,Operating Margin,35.77,Percent,Monthly
407,20240601,1,4.0,Revenue,1278353.36,EUR,Monthly
408,20240601,1,4.0,Operating Margin,25.71,Percent,Monthly
409,20240601,1,5.0,Revenue,890266.06,EUR,Monthly
410,20240601,1,5.0,Operating Margin,17.58,Percent,Monthly
411,20240601,1,6.0,Revenue,351776.35,EUR,Monthly
412,20240601,1,6.0,Operating Margin,30.31,Percent,Monthly
413,20240601,1,7.0,Revenue,690685.55,EUR,Monthly
414,20240601,1,7.0,Operating Margin,27.03,Percent,Monthly
415,20240601,1,8.0,Revenue,515273.48,EUR,Monthly
416,20240601,1,8.0,Operating Margin,25.59,Percent,Monthly
417,20240601,2,1.0,Revenue,165307.16,EUR,Monthly
418,20240601,2,1.0,Operating Margin,42.0,Percent,Monthly
419,20240601,2,2.0,Revenue,206012.68,EUR,Monthly
420,20240601,2,2.0,Operating Margin,42.0,Percent,Monthly
421,20240601,2,3.0,Revenue,1037333.72,EUR,Monthly
422,20240601,2,3.0,Operating Margin,40.72,Percent,Monthly
423,20240601,2,4.0,Revenue,875293.59,EUR,Monthly
424,20240601,2,4.0,Operating Margin,36.77,Percent,Monthly
425,20240601,2,5.0,Revenue,627335.37,EUR,Monthly
426,20240601,2,5.0,Operating Margin,36.27,Percent,Monthly
427,20240601,2,6.0,Revenue,242820.37,EUR,Monthly
428,20240601,2,6.0,Operating Margin,41.54,Percent,Monthly
429,20240601,2,7.0,Revenue,494447.47,EUR,Monthly
430,20240601,2,7.0,Operating Margin,39.82,Percent,Monthly
431,20240601,2,8.0,Revenue,358983.05,EUR,Monthly
432,20240601,2,8.0,Operating Margin,34.63,Percent,Monthly
433,20240601,3,1.0,Revenue,121496.95,EUR,Monthly
434,20240601,3,1.0,Operating Margin,42.0,Percent,Monthly
435,20240601,3,2.0,Revenue,148884.6,EUR,Monthly
436,20240601,3,2.0,Operating Margin,42.0,Percent,Monthly
437,20240601,3,3.0,Revenue,764572.55,EUR,Monthly
438,20240601,3,3.0,Operating Margin,38.75,Percent,Monthly
439,20240601,3,4.0,Revenue,663574.29,EUR,Monthly
440,20240601,3,4.0,Operating Margin,33.72,Percent,Monthly
441,20240601,3,5.0,Revenue,500685.75,EUR,Monthly
