asset_id,asset_name,asset_type,region_id,installation_date,asset_age_years,criticality_level,asset_status
66,Smart Meter Islands-066,Smart Meter,5,2021-11-28,4,Medium,Active
67,Smart Meter NorthEast-067,Smart Meter,2,2016-10-27,9,Low,Maintenance
68,HVAC System South-068,HVAC System,4,2019-09-01,6,Medium,Active
69,HVAC System South-069,HVAC System,4,2021-10-03,4,Medium,Active
70,HVAC System South-070,HVAC System,4,2015-08-09,10,Medium,Active
71,Industrial Equipment NorthWest-071,Industrial Equipment,1,2016-02-27,18,Medium,Maintenance
72,Energy Unit South-072,Energy Unit,4,2017-07-20,8,Critical,Active
73,Smart Meter Islands-073,Smart Meter,5,2011-07-17,14,Medium,Active
74,Charging Station NorthEast-074,Charging Station,2,2021-10-08,4,Low,Active
75,Energy Unit NorthWest-075,Energy Unit,1,2012-11-28,13,Critical,Active
76,HVAC System Islands-076,HVAC System,5,2021-08-22,4,High,Active
77,Smart Meter NorthWest-077,Smart Meter,1,2017-09-28,8,Medium,Active
78,Energy Unit Central-078,Energy Unit,3,2016-12-09,9,High,Active
79,Energy Unit NorthWest-079,Energy Unit,1,2013-12-23,12,Critical,Active
80,Energy Unit South-080,Energy Unit,4,2023-10-27,2,High,Maintenance
81,Energy Unit Islands-081,Energy Unit,5,2016-09-11,9,Critical,Maintenance
82,Smart Meter NorthEast-082,Smart Meter,2,2019-12-18,6,Critical,Active
83,Industrial Equipment NorthEast-083,Industrial Equipment,2,2020-01-02,6,Critical,Active
84,Charging Station NorthEast-084,Charging Station,2,2018-07-27,7,Medium,Active
85,HVAC System Islands-085,HVAC System,5,2014-11-22,11,Critical,Maintenance
86,Energy Unit NorthWest-086,Energy Unit,1,2011-10-13,14,High,Active
87,Energy Unit NorthEast-087,Energy Unit,2,2017-09-12,8,High,Active
88,Smart Meter NorthWest-088,Smart Meter,1,2011-10-06,16,Medium,Active
89,Energy Unit NorthWest-089,Energy Unit,1,2017-02-05,16,Medium,Maintenance
90,Smart Meter NorthEast-090,Smart Meter,2,2018-07-19,7,Low,Active
91,Industrial Equipment Islands-091,Industrial Equipment,5,2012-11-09,13,High,Active
92,Charging Station NorthEast-092,Charging Station,2,2018-11-24,7,High,Active
93,Industrial Equipment NorthWest-093,Industrial Equipment,1,2012-09-16,13,High,Active
94,HVAC System Central-094,HVAC System,3,2022-08-16,3,Critical,Active
95,Energy Unit NorthEast-095,Energy Unit,2,2022-09-03,3,High,Active
96,HVAC System Islands-096,HVAC System,5,2018-11-11,7,Medium,Active
97,Energy Unit NorthEast-097,Energy Unit,2,2022-12-06,3,Medium,Active
98,Energy Unit Central-098,Energy Unit,3,2017-12-22,8,Medium,Maintenance
99,Industrial Equipment Central-099,Industrial Equipment,3,2017-12-07,8,High,Active
100,Industrial Equipment Central-100,Industrial Equipment,3,2013-09-28,12,Critical,Active
101,Charging Station South-101,Charging Station,4,2020-10-24,5,Critical,Active
102,Smart Meter Central-102,Smart Meter,3,2014-11-15,11,Medium,Retired
103,Smart Meter Central-103,Smart Meter,3,2016-09-19,9,High,Active
104,Smart Meter Central-104,Smart Meter,3,2018-10-13,7,Low,Active
105,Energy Unit Central-105,Energy Unit,3,2019-07-23,6,High,Active
106,Industrial Equipment NorthWest-106,Industrial Equipment,1,2016-10-16,9,High,Maintenance
107,Charging Station NorthEast-107,Charging Station,2,2021-09-11,4,High,Active
108,Smart Meter NorthEast-108,Smart Meter,2,2019-07-28,6,Medium,Active
109,Energy Unit South-109,Energy Unit,4,2016-09-15,9,High,Maintenance
110,Energy Unit NorthEast-110,Energy Unit,2,2021-10-01,4,Medium,Active
111,Smart Meter NorthWest-111,Smart Meter,1,2013-11-17,12,Medium,Active
112,Smart Meter NorthEast-112,Smart Meter,2,2023-08-06,2,Low,Active
113,Industrial Equipment NorthWest-113,Industrial Equipment,1,2011-12-21,14,High,Maintenance
114,HVAC System NorthEast-114,HVAC System,2,2017-12-05,8,Critical,Active
115,Energy Unit NorthEast-115,Energy Unit,2,2019-12-10,6,High,Active
116,HVAC System South-116,HVAC System,4,2017-08-31,8,Critical,Active
117,HVAC System Islands-117,HVAC System,5,2016-08-06,9,Medium,Active
118,Smart Meter NorthWest-118,Smart Meter,1,2023-11-19,16,Medium,Maintenance
119,Charging Station NorthWest-119,Charging Station,1,2015-08-20,10,Medium,Maintenance
120,Industrial Equipment South-120,Industrial Equipment,4,2017-12-21,8,High,Active
121,Charging Station South-121,Charging Station,4,2011-09-21,14,Medium,Active
122,Industrial Equipment NorthWest-122,Industrial Equipment,1,2018-07-24,7,Medium,Active
123,HVAC System Central-123,HVAC System,3,2021-08-15,4,Critical,Active
124,Smart Meter South-124,Smart Meter,4,2020-12-22,5,Critical,Maintenance
125,Industrial Equipment NorthWest-125,Industrial Equipment,1,2017-07-11,8,Critical,Active
126,Energy Unit NorthWest-126,Energy Unit,1,2017-12-15,8,Critical,Active
127,HVAC System Central-127,HVAC System,3,2016-12-06,9,Critical,Active
128,Industrial Equipment South-128,Industrial Equipment,4,2013-11-15,12,Medium,Active
129,Industrial Equipment Central-129,Industrial Equipment,3,2021-12-27,4,High,Active
130,Charging Station Islands-130,Charging Station,5,2018-09-09,7,Low,Active
131,Industrial Equipment Islands-131,Industrial Equipment,5,2016-11-11,9,Low,Active
132,Charging Station NorthWest-132,Charging Station,1,2012-08-20,13,Low,Maintenance
133,Energy Unit NorthWest-133,Energy Unit,1,2025-08-30,0,Critical,Active
134,HVAC System Central-134,HVAC System,3,2014-10-21,11,High,Active
135,Smart Meter NorthWest-135,Smart Meter,1,2013-09-01,12,Low,Active
136,Energy Unit South-136,Energy Unit,4,2015-08-29,10,Critical,Active
137,HVAC System Islands-137,HVAC System,5,2016-07-12,9,High,Active
138,Industrial Equipment Central-138,Industrial Equipment,3,2017-08-09,8,Critical,Maintenance
139,Smart Meter South-139,Smart Meter,4,2017-10-01,8,Medium,Active
140,Smart Meter NorthEast-140,Smart Meter,2,2018-09-06,7,High,Active
141,Charging Station South-141,Charging Station,4,2017-11-03,8,High,Active
142,Charging Station NorthWest-142,Charging Station,1,2013-08-21,12,High,Active
143,HVAC System NorthEast-143,HVAC System,2,2020-10-03,5,Medium,Active
144,Energy Unit South-144,Energy Unit,4,2016-08-30,9,High,Active
145,Smart Meter NorthWest-145,Smart Meter,1,2014-10-10,16,High,Maintenance
146,Smart Meter Central-146,Smart Meter,3,2022-07-26,3,Low,Active
147,HVAC System NorthWest-147,HVAC System,1,2013-10-03,12,Medium,Active
148,Industrial Equipment Central-148,Industrial Equipment,3,2015-08-29,10,Critical,Active
149,Industrial Equipment Islands-149,Industrial Equipment,5,2016-12-15,9,Low,Maintenance
150,Smart Meter South-150,Smart Meter,4,2016-07-18,9,Medium,Active
151,Charging Station NorthWest-151,Charging Station,1,2016-11-18,9,High,Active
152,Charging Station South-152,Charging Station,4,2014-09-16,11,Low,Active
153,Energy Unit NorthWest-153,Energy Unit,1,2020-09-09,5,Medium,Active
154,Industrial Equipment NorthWest-154,Industrial Equipment,1,2012-11-26,13,High,Active
155,Smart Meter Islands-155,Smart Meter,5,2016-11-23,9,Low,Maintenance
156,Energy Unit South-156,Energy Unit,4,2020-11-05,5,Critical,Active
157,Industrial Equipment NorthWest-157,Industrial Equipment,1,2017-02-28,18,Medium,Retired
158,Energy Unit South-158,Energy Unit,4,2019-09-29,6,Medium,Active
159,Charging Station Islands-159,Charging Station,5,2014-08-18,11,High,Active
160,Smart Meter NorthWest-160,Smart Meter,1,2013-12-10,12,Low,Active
161,Charging Station South-161,Charging Station,4,2021-09-28,4,Critical,Retired
162,HVAC System South-162,HVAC System,4,2020-10-10,5,High,Active
163,Industrial Equipment South-163,Industrial Equipment,4,2015-09-10,10,Medium,Active
164,Energy Unit NorthWest-164,Energy Unit,1,2016-11-19,9,High,Active
165,Industrial Equipment Central-165,Industrial Equipment,3,2014-08-13,11,Critical,Active
166,Energy Unit NorthWest-166,Energy Unit,1,2017-12-07,8,Medium,Active
167,HVAC System Central-167,HVAC System,3,2015-08-07,10,Medium,Active
168,Smart Meter Central-168,Smart Meter,3,2018-12-25,7,Low,Active
169,Energy Unit NorthWest-169,Energy Unit,1,2012-07-13,13,High,Maintenance
170,HVAC System South-170,HVAC System,4,2017-08-31,8,High,Active
171,Smart Meter NorthWest-171,Smart Meter,1,2011-09-04,14,Critical,Active
172,Energy Unit NorthEast-172,Energy Unit,2,2019-11-24,6,Critical,Active
173,HVAC System South-173,HVAC System,4,2014-09-23,11,High,Active
174,Smart Meter Islands-174,Smart Meter,5,2020-12-25,5,Low,Active
175,Smart Meter Islands-175,Smart Meter,5,2013-07-19,12,Medium,Active
176,Smart Meter South-176,Smart Meter,4,2019-08-09,6,Low,Maintenance
177,Smart Meter NorthWest-177,Smart Meter,1,2010-10-28,15,Medium,Active
178,Charging Station South-178,Charging Station,4,2018-08-15,7,Low,Maintenance
179,Energy Unit NorthWest-179,Energy Unit,1,2010-08-31,15,Critical,Active
180,Energy Unit Islands-180,Energy Unit,5,2014-07-17,11,Critical,Active
181,Energy Unit NorthWest-181,Energy Unit,1,2015-10-19,10,Critical,Active
182,Energy Unit NorthWest-182,Energy Unit,1,2014-10-29,11,Critical,Active
183,HVAC System NorthEast-183,HVAC System,2,2018-08-12,7,Medium,Active
184,Smart Meter Islands-184,Smart Meter,5,2017-01-01,9,Medium,Maintenance
185,Smart Meter NorthWest-185,Smart Meter,1,2012-12-25,13,Medium,Maintenance
186,Energy Unit NorthWest-186,Energy Unit,1,2012-08-04,13,Medium,Active
187,Charging Station Islands-187,Charging Station,5,2017-07-20,8,Medium,Active
188,Smart Meter Islands-188,Smart Meter,5,2019-10-22,6,Low,Maintenance
189,Energy Unit Islands-189,Energy Unit,5,2014-12-16,11,Low,Active
190,HVAC System Central-190,HVAC System,3,2020-08-09,5,Low,Active
191,Smart Meter NorthWest-191,Smart Meter,1,2019-09-01,6,Low,Active
192,HVAC System NorthWest-192,HVAC System,1,2017-08-11,8,High,Maintenance
193,Smart Meter Central-193,Smart Meter,3,2022-12-23,3,Critical,Active
194,Smart Meter NorthWest-194,Smart Meter,1,2019-09-28,6,Low,Active
195,Industrial Equipment NorthEast-195,Industrial Equipment,2,2019-12-26,6,Critical,Active
196,HVAC System NorthWest-196,HVAC System,1,2018-12-08,16,Medium,Active
197,Energy Unit NorthEast-197,Energy Unit,2,2019-10-20,6,Critical,Maintenance
198,Smart Meter NorthEast-198,Smart Meter,2,2021-11-18,4,Medium,Active
199,Smart Meter NorthWest-199,Smart Meter,1,2012-11-07,13,Low,Active
200,HVAC System South-200,HVAC System,4,2024-11-12,1,Medium,Active
201,HVAC System NorthWest-201,HVAC System,1,2013-07-15,12,Medium,Maintenance
202,Smart Meter Central-202,Smart Meter,3,2017-08-24,8,Medium,Active
203,Industrial Equipment South-203,Industrial Equipment,4,2022-11-04,3,Critical,Active
204,Energy Unit NorthEast-204,Energy Unit,2,2017-11-15,8,High,Active
205,Smart Meter South-205,Smart Meter,4,2016-01-03,10,Medium,Active
206,Smart Meter Central-206,Smart Meter,3,2021-12-31,4,Medium,Active
207,HVAC System NorthEast-207,HVAC System,2,2017-08-30,8,Medium,Active
208,HVAC System South-208,HVAC System,4,2017-12-29,8,Medium,Active
209,Charging Station South-209,Charging Station,4,2016-12-27,9,Medium,Active
210,Charging Station NorthWest-210,Charging Station,1,2012-11-26,13,High,Maintenance
211,Energy Unit Central-211,Energy Unit,3,2019-12-09,6,High,Maintenance
212,Industrial Equipment NorthEast-212,Industrial Equipment,2,2017-11-12,8,High,Active
213,HVAC System NorthEast-213,HVAC System,2,2021-12-06,4,Low,Maintenance
214,HVAC System South-214,HVAC System,4,2014-11-15,11,High,Active
215,HVAC System South-215,HVAC System,4,2021-12-05,4,Medium,Active
216,Energy Unit Central-216,Energy Unit,3,2024-07-31,1,High,Active
217,Smart Meter NorthEast-217,Smart Meter,2,2024-10-05,1,High,Active
218,HVAC System NorthWest-218,HVAC System,1,2012-08-08,13,Low,Active
219,Smart Meter Central-219,Smart Meter,3,2018-09-04,7,Low,Active
220,Energy Unit NorthWest-220,Energy Unit,1,2017-10-31,8,Critical,Active
221,HVAC System South-221,HVAC System,4,2013-09-15,12,Medium,Active
222,Charging Station Islands-222,Charging Station,5,2012-08-28,13,Low,Active
223,Energy Unit NorthWest-223,Energy Unit,1,2013-11-20,12,Critical,Active
224,Industrial Equipment NorthWest-224,Industrial Equipment,1,2015-08-10,10,Low,Maintenance
225,Energy Unit Central-225,Energy Unit,3,2021-10-10,4,Low,Active
226,Charging Station Central-226,Charging Station,3,2018-08-30,7,Low,Active
227,Industrial Equipment NorthWest-227,Industrial Equipment,1,2014-11-16,11,High,Active
228,Industrial Equipment NorthEast-228,Industrial Equipment,2,2015-08-02,10,Critical,Active
229,Industrial Equipment NorthWest-229,Industrial Equipment,1,2016-07-23,9,Critical,Active
230,Energy Unit Islands-230,Energy Unit,5,2017-09-16,8,High,Active
231,Industrial Equipment NorthWest-231,Industrial Equipment,1,2010-07-27,18,Critical,Maintenance
232,Industrial Equipment South-232,Industrial Equipment,4,2020-08-27,5,Medium,Active
233,Charging Station Central-233,Charging Station,3,2015-07-10,10,Medium,Active
234,Energy Unit Islands-234,Energy Unit,5,2017-11-22,8,High,Active
235,HVAC System Central-235,HVAC System,3,2016-12-19,9,Medium,Active
236,Charging Station Central-236,Charging Station,3,2015-07-15,10,Medium,Active
237,Industrial Equipment NorthWest-237,Industrial Equipment,1,2013-12-18,12,Critical,Active
238,Smart Meter NorthEast-238,Smart Meter,2,2022-07-27,3,Critical,Active
239,Charging Station South-239,Charging Station,4,2018-10-24,7,Critical,Active
240,HVAC System Central-240,HVAC System,3,2017-10-17,8,Critical,Active
241,Smart Meter NorthEast-241,Smart Meter,2,2019-07-16,6,Medium,Active
242,HVAC System NorthEast-242,HVAC System,2,2021-07-29,4,Medium,Active
243,HVAC System South-243,HVAC System,4,2019-09-03,6,Medium,Active
244,Charging Station Central-244,Charging Station,3,2018-07-29,7,Critical,Active
245,Industrial Equipment NorthWest-245,Industrial Equipment,1,2014-07-22,11,High,Maintenance
246,Charging Station NorthWest-246,Charging Station,1,2014-07-12,11,Medium,Active
247,Industrial Equipment South-247,Industrial Equipment,4,2022-09-26,3,Medium,Active
248,Energy Unit NorthWest-248,Energy Unit,1,2010-08-11,15,High,Active
249,Energy Unit Islands-249,Energy Unit,5,2011-10-21,14,High,Active
250,Industrial Equipment NorthEast-250,Industrial Equipment,2,2018-12-30,7,High,Active
