request_id,created_at,resolved_at,date_id,customer_id,region_id,asset_id,request_type,priority,status,sla_target_hours,actual_resolution_hours,within_sla
22,2024-03-30 13:01:00,2024-03-31 02:23:12,20240330,94,4,62.0,Performance Review,High,Resolved,21.78,13.37,True
23,2025-07-13 10:22:00,2025-07-13 15:41:48,20250713,615,4,232.0,Outage Investigation,Critical,Resolved,8.24,5.33,True
24,2024-08-19 18:17:00,2024-08-19 20:39:22,20240819,705,4,101.0,Performance Review,Critical,Cancelled,8.06,,
25,2024-04-23 09:26:00,2024-04-25 16:57:12,20240423,454,1,118.0,Installation Support,Medium,Resolved,46.92,55.52,False
26,2025-01-28 23:37:00,2025-01-31 23:00:24,20250128,677,1,20.0,Installation Support,Low,Resolved,75.35,71.39,True
27,2025-11-01 07:40:00,2025-11-02 18:42:24,20251101,594,1,43.0,Emergency Repair,Medium,Resolved,52.22,35.04,True
28,2024-05-29 23:36:00,2024-05-30 16:29:24,20240529,405,3,236.0,Emergency Repair,High,Resolved,21.63,16.89,True
29,2025-12-10 06:01:00,2025-12-11 08:58:00,20251210,67,1,47.0,Preventive Check,High,Resolved,25.24,26.95,False
30,2025-07-05 16:01:00,,20250705,615,4,215.0,Performance Review,Medium,Open,47.34,,
31,2025-02-04 20:11:00,2025-02-07 08:05:36,20250204,85,3,165.0,Installation Support,Low,Resolved,73.45,59.91,True
32,2025-07-02 07:26:00,2025-07-02 08:45:41,20250702,365,5,184.0,Installation Support,Critical,Cancelled,7.86,,
33,2024-04-11 06:37:00,2024-04-11 11:47:48,20240411,399,4,62.0,Installation Support,Critical,Resolved,8.51,5.18,True
34,2025-06-06 02:21:00,2025-06-07 15:07:48,20250606,636,5,117.0,Performance Review,Medium,Resolved,51.35,36.78,True
35,2025-03-31 03:49:00,2025-04-03 17:51:24,20250331,301,1,229.0,Preventive Check,Low,Resolved,65.48,86.04,False
36,2024-07-27 20:54:00,,20240727,137,5,137.0,Outage Investigation,Medium,In Progress,45.54,,
37,2025-06-10 13:21:00,,20250610,514,1,157.0,Installation Support,Low,In Progress,65.1,,
38,2024-06-21 19:08:00,2024-06-22 23:19:24,20240621,740,1,196.0,Emergency Repair,Medium,Resolved,45.18,28.19,True
39,2024-11-17 06:08:00,,20241117,515,1,194.0,Installation Support,Low,In Progress,71.0,,
40,2024-04-23 15:04:00,,20240423,432,1,125.0,Outage Investigation,High,In Progress,23.93,,
41,2024-07-24 23:20:00,2024-07-25 20:12:48,20240724,342,1,231.0,Contract Update,High,Resolved,22.58,20.88,True
42,2025-05-11 08:21:00,2025-05-12 08:07:12,20250511,477,4,176.0,Emergency Repair,Medium,Resolved,49.14,23.77,True
43,2024-05-03 16:28:00,2024-05-06 09:07:36,20240503,58,2,84.0,Installation Support,Low,Resolved,66.78,64.66,True
44,2024-11-19 06:11:00,2024-11-20 13:51:48,20241119,593,2,8.0,Performance Review,Medium,Resolved,52.03,31.68,True
45,2025-03-20 16:20:00,2025-03-22 13:55:24,20250320,532,3,,Billing Inquiry,Medium,Resolved,46.0,45.59,True
46,2025-09-27 06:11:00,2025-09-28 07:53:00,20250927,365,5,222.0,Preventive Check,High,Resolved,23.52,25.7,False
47,2025-09-16 15:47:00,2025-09-17 02:42:12,20250916,743,2,67.0,Preventive Check,High,Resolved,25.23,10.92,True
48,2024-04-07 00:02:00,2024-04-09 00:36:12,20240407,226,4,120.0,Installation Support,Medium,Resolved,43.57,48.57,False
49,2024-06-18 09:26:00,2024-06-19 01:00:12,20240618,388,3,138.0,Preventive Check,High,Resolved,25.83,15.57,True
50,2025-12-01 18:59:00,2025-12-03 03:46:59,20251201,719,3,216.0,Contract Update,Low,Resolved,65.02,32.8,True
51,2024-03-04 03:12:00,2024-03-04 22:25:48,20240304,12,2,108.0,Outage Investigation,Medium,Resolved,48.61,19.23,True
52,2025-09-30 10:58:00,2025-10-02 20:21:24,20250930,39,4,221.0,Outage Investigation,Medium,Resolved,50.59,57.39,False
53,2024-12-03 18:47:00,2024-12-03 22:40:12,20241203,432,1,86.0,Contract Update,Low,Cancelled,76.24,,
54,2024-08-16 08:00:00,2024-08-19 01:00:36,20240816,396,4,176.0,Outage Investigation,Low,Resolved,77.05,65.01,True
55,2024-03-26 16:20:00,,20240326,539,1,153.0,Billing Inquiry,Medium,Open,43.96,,
56,2024-06-10 15:03:00,2024-06-14 01:06:36,20240610,27,1,142.0,Emergency Repair,Low,Resolved,70.78,82.06,False
57,2025-01-27 07:15:00,2025-01-27 11:36:36,20250127,20,3,129.0,Outage Investigation,Critical,Resolved,8.16,4.36,True
58,2024-02-27 23:00:00,2024-03-01 16:45:36,20240227,121,1,231.0,Outage Investigation,Medium,Resolved,52.21,65.76,False
59,2025-09-18 04:40:00,2025-09-18 09:09:48,20250918,208,5,149.0,Outage Investigation,Medium,Cancelled,51.9,,
60,2025-08-15 15:05:00,2025-08-17 16:02:00,20250815,205,1,169.0,Preventive Check,Medium,Resolved,51.96,48.95,True
61,2024-06-27 20:32:00,2024-06-29 14:55:24,20240627,658,2,238.0,Preventive Check,Medium,Resolved,52.13,42.39,True
62,2025-10-23 14:49:00,2025-10-24 10:13:00,20251023,494,5,66.0,Contract Update,High,Resolved,25.87,19.4,True
63,2024-11-15 09:35:00,2024-11-16 13:18:48,20241115,484,3,244.0,Emergency Repair,Medium,Resolved,45.07,27.73,True
64,2025-05-09 12:52:00,2025-05-10 20:34:00,20250509,667,3,168.0,Installation Support,Medium,Resolved,48.37,31.7,True
65,2024-02-04 18:12:00,2024-02-05 00:09:00,20240204,539,1,119.0,Preventive Check,Critical,Resolved,7.69,5.95,True
66,2024-03-05 19:25:00,,20240305,19,1,160.0,Contract Update,Low,Open,68.89,,
67,2025-03-03 03:42:00,2025-03-05 01:26:24,20250303,280,5,44.0,Contract Update,Medium,Resolved,51.87,45.74,True
68,2024-06-28 04:57:00,2024-06-30 15:22:48,20240628,262,1,47.0,Contract Update,Low,Resolved,77.1,58.43,True
69,2024-03-19 09:56:00,2024-03-20 07:22:24,20240319,95,2,140.0,Billing Inquiry,Medium,Resolved,47.9,21.44,True
70,2024-08-12 01:12:00,2024-08-12 06:48:00,20240812,409,3,225.0,Installation Support,Critical,Resolved,7.35,5.6,True
71,2025-11-08 04:52:00,2025-11-10 17:34:36,20251108,369,4,62.0,Emergency Repair,Low,Resolved,66.04,60.71,True
72,2025-06-19 15:07:00,2025-06-19 16:49:24,20250619,479,5,34.0,Preventive Check,Critical,Cancelled,7.97,,
73,2024-02-19 07:31:00,2024-02-20 23:13:36,20240219,417,3,,Contract Update,Medium,Resolved,47.74,39.71,True
74,2024-11-20 22:28:00,2024-11-21 06:23:12,20241120,340,4,243.0,Preventive Check,Critical,Resolved,8.2,7.92,True
75,2024-10-30 10:41:00,2024-10-31 14:50:00,20241030,79,1,6.0,Outage Investigation,Medium,Resolved,50.73,28.15,True
76,2024-03-26 20:00:00,2024-03-27 22:40:12,20240326,558,1,248.0,Emergency Repair,High,Resolved,23.66,26.67,False
77,2025-06-01 18:10:00,2025-06-03 16:04:36,20250601,493,2,87.0,Installation Support,Medium,Resolved,50.85,45.91,True
78,2025-05-30 04:19:00,2025-05-31 18:31:00,20250530,444,2,242.0,Preventive Check,Medium,Resolved,48.36,38.2,True
79,2025-04-10 23:26:00,,20250410,306,3,206.0,Contract Update,Low,In Progress,74.84,,
80,2024-12-26 03:16:00,2024-12-26 06:28:27,20241226,187,4,162.0,Contract Update,Medium,Cancelled,47.88,,
81,2025-08-17 04:16:00,2025-08-17 15:55:36,20250817,400,2,83.0,Installation Support,High,Resolved,24.15,11.66,True
82,2024-03-30 23:28:00,2024-03-31 03:58:36,20240330,439,1,132.0,Contract Update,Critical,Resolved,8.72,4.51,True
83,2025-02-28 22:48:00,2025-03-02 05:09:36,20250228,375,5,91.0,Billing Inquiry,High,Resolved,23.96,30.36,False
84,2024-08-27 09:55:00,2024-08-30 01:38:12,20240827,686,2,57.0,Outage Investigation,Low,Resolved,75.18,63.72,True
85,2025-02-11 17:53:00,2025-02-12 00:05:55,20250211,729,4,11.0,Outage Investigation,Low,Cancelled,68.71,,
86,2024-02-27 12:34:00,2024-02-27 20:40:35,20240227,48,2,228.0,Contract Update,Critical,Resolved,8.2,8.11,True
87,2024-09-09 22:21:00,2024-09-10 13:32:24,20240909,140,2,84.0,Contract Update,High,Resolved,24.61,15.19,True
88,2024-03-07 13:42:00,2024-03-09 01:28:48,20240307,203,4,128.0,Installation Support,Low,Resolved,71.7,35.78,True
89,2024-01-19 09:51:00,2024-01-19 16:22:48,20240119,369,4,158.0,Emergency Repair,Critical,Resolved,7.65,6.53,True
90,2025-04-15 11:47:00,2025-04-16 04:27:12,20250415,565,5,34.0,Performance Review,High,Resolved,24.38,16.67,True
91,2024-07-18 17:04:00,2024-07-20 02:06:59,20240718,102,1,171.0,Outage Investigation,Medium,Resolved,44.43,33.05,True
92,2025-07-10 20:35:00,2025-07-12 19:10:24,20250710,700,2,112.0,Performance Review,Low,Resolved,70.95,46.59,True
93,2025-03-21 08:42:00,2025-03-21 21:45:00,20250321,565,5,96.0,Contract Update,High,Resolved,24.56,13.05,True
94,2024-02-10 10:38:00,,20240210,281,3,,Billing Inquiry,High,In Progress,21.98,,
95,2024-01-21 17:02:00,2024-01-24 08:39:48,20240121,186,2,74.0,Outage Investigation,Low,Resolved,67.6,63.63,True
96,2024-05-08 14:34:00,2024-05-09 19:39:24,20240508,203,4,203.0,Outage Investigation,High,Resolved,25.46,29.09,False
97,2024-09-23 14:33:00,2024-09-25 16:38:24,20240923,29,4,80.0,Performance Review,Medium,Resolved,49.24,50.09,False
98,2024-08-23 17:55:00,2024-08-26 02:43:00,20240823,677,1,64.0,Outage Investigation,Medium,Resolved,52.15,56.8,False
99,2025-04-30 01:11:00,2025-05-02 00:14:00,20250430,316,3,148.0,Emergency Repair,Low,Resolved,75.04,47.05,True
100,2024-03-29 16:37:00,2024-04-02 23:59:48,20240329,464,1,248.0,Preventive Check,Low,Resolved,71.62,103.38,False
101,2024-06-23 05:44:00,2024-06-25 19:53:36,20240623,600,1,89.0,Outage Investigation,Low,Resolved,71.58,62.16,True
102,2025-01-31 07:41:00,,20250131,723,2,35.0,Installation Support,Critical,In Progress,8.0,,
103,2024-08-02 12:19:00,2024-08-02 23:16:00,20240802,254,3,50.0,Billing Inquiry,High,Resolved,22.46,10.95,True
104,2024-01-19 12:17:00,2024-01-21 12:17:36,20240119,99,2,250.0,Preventive Check,Low,Resolved,65.72,48.01,True
105,2025-05-08 01:29:00,2025-05-08 03:21:54,20250508,655,1,145.0,Installation Support,High,Cancelled,22.07,,
106,2025-05-01 07:50:00,2025-05-02 23:30:48,20250501,191,2,115.0,Outage Investigation,Low,Resolved,76.02,39.68,True
107,2025-06-24 11:07:00,2025-06-26 09:22:00,20250624,416,1,6.0,Performance Review,Medium,Resolved,50.85,46.25,True
108,2024-09-02 23:18:00,2024-09-03 13:45:36,20240902,9,4,176.0,Performance Review,High,Resolved,25.57,14.46,True
109,2025-05-03 15:57:00,2025-05-06 09:10:48,20250503,285,2,140.0,Contract Update,Low,Resolved,73.07,65.23,True
110,2025-01-11 18:51:00,2025-01-12 11:40:41,20250111,738,5,131.0,Billing Inquiry,Low,Cancelled,78.87,,
111,2024-02-10 02:48:00,2024-02-12 23:45:35,20240210,99,2,110.0,Contract Update,Low,Resolved,73.64,68.96,True
112,2024-02-26 13:51:00,2024-02-28 06:08:24,20240226,219,2,212.0,Emergency Repair,Medium,Resolved,45.19,40.29,True
113,2025-12-20 22:32:00,,20251220,54,4,161.0,Outage Investigation,Low,In Progress,64.97,,
114,2025-06-16 01:59:00,2025-06-19 07:28:24,20250616,714,2,172.0,Preventive Check,Low,Resolved,74.8,77.49,False
115,2025-06-19 16:45:00,2025-06-21 13:15:00,20250619,159,3,17.0,Contract Update,Medium,Resolved,51.26,44.5,True
116,2024-09-03 04:08:00,2024-09-04 04:23:00,20240903,235,1,88.0,Outage Investigation,High,Resolved,23.53,24.25,False
117,2025-08-04 17:22:00,2025-08-08 07:40:00,20250804,325,3,127.0,Preventive Check,Low,Resolved,69.69,86.3,False
118,2025-07-06 17:19:00,2025-07-08 14:17:48,20250706,539,1,65.0,Emergency Repair,Low,Resolved,68.79,44.98,True
119,2025-05-23 16:20:00,2025-05-25 01:44:00,20250523,193,2,74.0,Installation Support,Low,Resolved,77.91,33.4,True
120,2024-12-03 15:58:00,2024-12-04 12:02:48,20241203,604,4,80.0,Preventive Check,High,Resolved,25.66,20.08,True
121,2024-11-05 23:55:00,2024-11-07 13:16:36,20241105,109,1,58.0,Outage Investigation,Medium,Resolved,43.82,37.36,True
122,2024-03-14 23:03:00,2024-03-16 10:36:36,20240314,151,5,131.0,Performance Review,Medium,Resolved,45.08,35.56,True
123,2025-07-18 12:19:00,2025-07-20 11:46:36,20250718,609,1,151.0,Outage Investigation,Medium,Resolved,43.46,47.46,False
124,2024-07-12 17:20:00,2024-07-13 14:53:36,20240712,189,2,92.0,Emergency Repair,High,Resolved,22.56,21.56,True
125,2024-09-21 05:36:00,2024-09-21 13:02:24,20240921,390,1,223.0,Installation Support,Critical,Resolved,7.91,7.44,True
126,2025-06-04 08:03:00,2025-06-07 15:07:12,20250604,657,4,203.0,Billing Inquiry,Low,Resolved,72.26,79.07,False
127,2025-05-11 18:47:00,2025-05-12 07:23:00,20250511,54,4,141.0,Billing Inquiry,High,Resolved,23.24,12.6,True
128,2024-11-13 01:30:00,2024-11-14 10:32:24,20241113,203,4,45.0,Emergency Repair,Medium,Resolved,44.66,33.04,True
129,2024-02-22 06:21:00,2024-02-24 23:39:00,20240222,310,2,52.0,Billing Inquiry,Low,Resolved,67.21,65.3,True
130,2024-02-01 17:20:00,,20240201,560,1,111.0,Installation Support,Low,In Progress,73.97,,
131,2025-06-25 00:09:00,2025-06-25 18:38:24,20250625,446,4,116.0,Outage Investigation,High,Resolved,23.78,18.49,True
132,2024-08-06 08:52:00,2024-08-08 14:56:12,20240806,468,3,190.0,Performance Review,Low,Resolved,65.34,54.07,True
133,2024-06-01 11:02:00,2024-06-04 01:58:24,20240601,449,5,131.0,Performance Review,Medium,Resolved,52.2,62.94,False
134,2025-02-15 04:34:00,2025-02-15 23:31:36,20250215,508,4,144.0,Preventive Check,High,Resolved,22.73,18.96,True
135,2024-07-20 11:35:00,2024-07-22 14:02:00,20240720,162,2,3.0,Contract Update,Low,Resolved,69.18,50.45,True
136,2024-09-25 13:57:00,2024-09-26 03:40:48,20240925,743,2,241.0,Performance Review,High,Resolved,24.12,13.73,True
137,2024-07-05 03:08:00,2024-07-07 03:02:00,20240705,160,2,212.0,Performance Review,Low,Resolved,70.91,47.9,True
138,2025-04-29 23:41:00,2025-05-01 06:06:48,20250429,625,4,205.0,Installation Support,Medium,Resolved,47.53,30.43,True
139,2024-11-27 07:02:00,2024-11-27 16:27:48,20241127,517,5,180.0,Performance Review,Critical,Resolved,8.68,9.43,False
140,2024-07-12 04:33:00,2024-07-12 22:06:35,20240712,67,1,227.0,Performance Review,High,Resolved,23.07,17.56,True
141,2025-07-26 22:53:00,2025-07-27 13:36:12,20250726,587,3,123.0,Installation Support,High,Resolved,26.18,14.72,True
142,2024-03-21 22:29:00,2024-03-24 20:19:24,20240321,75,2,195.0,Installation Support,Low,Resolved,69.41,69.84,False
143,2025-04-01 06:31:00,2025-04-02 09:41:48,20250401,27,1,2.0,Outage Investigation,High,Resolved,23.63,27.18,False
144,2024-12-04 11:10:00,2024-12-06 09:01:00,20241204,141,1,27.0,Installation Support,Medium,Resolved,47.3,45.85,True
145,2024-12-11 14:18:00,2024-12-13 10:11:24,20241211,308,5,51.0,Contract Update,Low,Resolved,74.93,43.89,True
146,2025-10-15 15:49:00,2025-10-19 20:49:36,20251015,209,4,116.0,Performance Review,Low,Resolved,79.1,101.01,False
147,2024-07-13 19:22:00,2024-07-14 09:37:00,20240713,458,1,18.0,Outage Investigation,High,Resolved,24.12,14.25,True
148,2025-11-26 11:40:00,2025-11-28 23:34:36,20251126,255,5,184.0,Billing Inquiry,Medium,Resolved,45.01,59.91,False
149,2024-05-16 02:20:00,2024-05-18 09:36:12,20240516,378,5,53.0,Emergency Repair,Medium,Resolved,47.04,55.27,False
150,2024-10-29 03:32:00,2024-10-31 16:35:36,20241029,152,5,85.0,Billing Inquiry,Low,Resolved,65.39,61.06,True
151,2025-05-05 07:39:00,2025-05-07 04:03:36,20250505,51,3,211.0,Outage Investigation,Low,Resolved,72.74,44.41,True
152,2025-12-06 08:09:00,,20251206,238,1,32.0,Emergency Repair,Critical,In Progress,7.83,,
153,2024-11-07 14:02:00,2024-11-10 00:19:24,20241107,14,3,138.0,Contract Update,Low,Resolved,72.18,58.29,True
154,2024-06-24 19:34:00,2024-06-24 22:29:05,20240624,703,5,175.0,Billing Inquiry,High,Cancelled,22.85,,
155,2024-09-19 23:33:00,2024-09-20 22:50:24,20240919,652,3,235.0,Contract Update,Medium,Resolved,48.99,23.29,True
156,2025-02-02 05:05:00,2025-02-02 13:43:24,20250202,358,1,65.0,Billing Inquiry,Critical,Resolved,7.36,8.64,False
157,2024-07-13 01:07:00,2024-07-13 15:36:24,20240713,456,5,51.0,Preventive Check,High,Resolved,23.02,14.49,True
158,2024-09-17 15:02:00,2024-09-19 23:58:24,20240917,241,2,92.0,Performance Review,Low,Resolved,72.51,56.94,True
159,2024-10-28 22:21:00,,20241028,469,1,248.0,Billing Inquiry,Medium,In Progress,47.58,,
160,2025-06-25 04:04:00,2025-06-26 23:20:48,20250625,197,3,190.0,Billing Inquiry,Medium,Resolved,43.53,43.28,True
161,2024-09-29 02:33:00,2024-09-30 15:23:24,20240929,470,2,115.0,Billing Inquiry,Medium,Resolved,45.07,36.84,True
162,2024-09-16 00:44:00,2024-09-16 05:50:36,20240916,74,3,22.0,Emergency Repair,Critical,Resolved,7.95,5.11,True
163,2025-02-18 20:06:00,2025-02-20 15:40:48,20250218,728,2,241.0,Installation Support,Medium,Resolved,50.02,43.58,True
164,2024-04-15 00:33:00,,20240415,277,5,51.0,Emergency Repair,Medium,In Progress,49.18,,
165,2024-09-21 11:24:00,,20240921,460,5,188.0,Installation Support,Medium,Open,52.68,,
166,2024-04-09 12:21:00,,20240409,406,1,65.0,Contract Update,Low,In Progress,68.66,,
167,2025-11-27 10:09:00,2025-11-28 15:24:36,20251127,43,1,237.0,Billing Inquiry,High,Resolved,22.88,29.26,False
168,2025-03-03 16:58:00,2025-03-04 16:44:12,20250303,446,4,139.0,Outage Investigation,High,Resolved,22.14,23.77,False
169,2025-07-27 16:44:00,2025-07-29 20:56:00,20250727,198,1,246.0,Contract Update,Low,Resolved,74.52,52.2,True
170,2025-04-23 11:36:00,2025-04-24 08:56:24,20250423,495,1,122.0,Installation Support,High,Resolved,23.15,21.34,True
171,2024-10-31 13:45:00,2024-11-01 20:43:48,20241031,602,3,235.0,Preventive Check,Medium,Resolved,48.41,30.98,True
172,2024-10-29 16:51:00,2024-11-02 03:03:36,20241029,415,4,11.0,Contract Update,Low,Resolved,77.42,82.21,False
173,2025-01-17 02:14:00,2025-01-19 02:13:24,20250117,376,1,65.0,Billing Inquiry,Low,Resolved,71.02,47.99,True
174,2025-11-12 02:36:00,2025-11-13 14:06:00,20251112,335,2,241.0,Emergency Repair,Medium,Resolved,50.91,35.5,True
175,2025-10-03 09:42:00,,20251003,554,2,24.0,Outage Investigation,High,Open,25.17,,
176,2024-08-18 11:03:00,2024-08-18 13:51:57,20240818,515,1,,Billing Inquiry,Critical,Cancelled,7.8,,
177,2025-11-15 10:43:00,2025-11-16 21:09:23,20251115,540,3,78.0,Installation Support,Low,Resolved,71.02,34.44,True
178,2024-03-10 19:52:00,2024-03-10 23:04:59,20240310,237,2,26.0,Emergency Repair,High,Cancelled,24.33,,
179,2025-02-12 23:48:00,2025-02-15 13:18:00,20250212,472,1,75.0,Contract Update,Low,Resolved,75.19,61.5,True
180,2024-02-11 06:14:00,2024-02-13 05:17:36,20240211,169,3,219.0,Emergency Repair,Medium,Resolved,47.72,47.06,True
181,2025-09-24 08:32:00,2025-09-24 20:05:00,20250924,134,1,,Contract Update,High,Resolved,25.07,11.55,True
182,2024-01-07 19:12:00,2024-01-10 20:52:48,20240107,365,5,73.0,Contract Update,Low,Resolved,68.84,73.68,False
183,2025-07-03 15:43:00,2025-07-06 14:36:24,20250703,83,2,250.0,Billing Inquiry,Low,Resolved,68.58,70.89,False
184,2024-12-27 18:19:00,2024-12-29 09:09:24,20241227,498,4,120.0,Installation Support,Medium,Resolved,51.48,38.84,True
185,2024-02-26 18:22:00,2024-03-01 08:22:00,20240226,147,5,,Billing Inquiry,Low,Resolved,65.97,86.0,False
186,2025-09-23 06:40:00,2025-09-26 00:07:35,20250923,511,2,24.0,Installation Support,Low,Resolved,68.53,65.46,True
187,2024-04-12 19:28:00,,20240412,282,1,89.0,Preventive Check,Critical,Open,7.82,,
188,2024-09-27 08:49:00,2024-09-29 04:02:48,20240927,672,3,100.0,Emergency Repair,Medium,Resolved,48.02,43.23,True
189,2024-02-06 07:16:00,2024-02-06 17:28:36,20240206,592,2,110.0,Billing Inquiry,High,Resolved,24.26,10.21,True
190,2024-04-04 05:49:00,2024-04-05 09:13:00,20240404,215,5,222.0,Emergency Repair,Medium,Resolved,48.47,27.4,True
191,2024-12-16 12:03:00,2024-12-17 02:50:49,20241216,220,5,29.0,Preventive Check,Low,Cancelled,69.42,,
192,2024-07-12 10:37:00,2024-07-14 03:37:36,20240712,331,2,97.0,Emergency Repair,Medium,Resolved,49.79,41.01,True
193,2024-04-29 07:15:00,2024-04-30 09:12:36,20240429,124,3,235.0,Preventive Check,High,Resolved,26.27,25.96,True
194,2024-10-13 05:51:00,2024-10-13 17:45:00,20241013,470,2,250.0,Installation Support,High,Resolved,25.35,11.9,True
195,2025-03-18 22:32:00,2025-03-21 17:35:00,20250318,561,2,83.0,Performance Review,Low,Resolved,78.08,67.05,True
196,2024-11-12 19:07:00,2024-11-15 11:34:00,20241112,93,1,16.0,Billing Inquiry,Low,Resolved,64.96,64.45,True
197,2024-12-18 07:52:00,2024-12-19 09:12:05,20241218,748,3,28.0,Installation Support,Low,Cancelled,69.53,,
198,2024-06-19 13:35:00,2024-06-20 19:51:12,20240619,662,2,31.0,Outage Investigation,Medium,Resolved,45.33,30.27,True
199,2025-01-05 19:18:00,2025-01-08 05:32:24,20250105,81,3,105.0,Billing Inquiry,Low,Resolved,70.95,58.24,True
200,2024-07-22 12:33:00,2024-07-24 07:15:00,20240722,111,2,212.0,Performance Review,Low,Resolved,66.11,42.7,True
201,2025-12-10 11:30:00,2025-12-12 23:34:12,20251210,165,1,41.0,Preventive Check,Medium,Resolved,45.7,60.07,False
202,2025-10-18 06:12:00,2025-10-18 15:22:48,20251018,516,2,55.0,Billing Inquiry,High,Resolved,23.43,9.18,True
203,2024-04-19 23:47:00,2024-04-20 07:00:12,20240419,317,1,237.0,Preventive Check,Critical,Resolved,7.94,7.22,True
204,2025-05-05 18:17:00,2025-05-09 14:03:12,20250505,711,1,186.0,Performance Review,Low,Resolved,75.62,91.77,False
205,2025-02-06 09:14:00,2025-02-06 14:14:36,20250206,220,5,117.0,Contract Update,Critical,Resolved,8.62,5.01,True
206,2024-07-04 05:32:00,2024-07-05 10:21:48,20240704,254,3,127.0,Preventive Check,Medium,Resolved,46.02,28.83,True
207,2024-12-09 17:58:00,2024-12-12 14:46:36,20241209,351,4,,Contract Update,Low,Resolved,76.29,68.81,True
208,2025-11-17 00:33:00,,20251117,115,1,88.0,Outage Investigation,Critical,Open,7.66,,
209,2025-04-28 14:28:00,2025-04-30 02:34:00,20250428,530,2,107.0,Contract Update,Medium,Resolved,44.0,36.1,True
210,2024-08-28 20:36:00,2024-08-29 20:39:36,20240828,305,4,11.0,Outage Investigation,Medium,Resolved,47.7,24.06,True
211,2024-03-23 11:23:00,2024-03-24 15:12:12,20240323,137,5,184.0,Contract Update,Medium,Resolved,48.47,27.82,True
212,2025-02-09 11:39:00,2025-02-09 17:54:21,20250209,290,1,248.0,Emergency Repair,Medium,Cancelled,49.65,,
213,2025-02-17 17:53:00,2025-02-17 21:24:48,20250217,552,2,110.0,Performance Review,Critical,Resolved,7.44,3.53,True
214,2025-02-28 07:17:00,2025-03-02 15:08:36,20250228,93,1,164.0,Billing Inquiry,Medium,Resolved,46.85,55.86,False
215,2025-08-24 04:51:00,2025-08-24 06:57:08,20250824,369,4,68.0,Contract Update,Low,Cancelled,74.0,,
216,2025-01-23 10:51:00,2025-01-23 17:24:00,20250123,146,2,198.0,Installation Support,Critical,Resolved,7.98,6.55,True
217,2024-06-28 18:08:00,2024-06-29 10:38:00,20240628,739,3,22.0,Preventive Check,High,Resolved,21.85,16.5,True
218,2024-11-06 19:08:00,2024-11-07 02:42:12,20241106,540,3,138.0,Preventive Check,Critical,Resolved,7.24,7.57,False
219,2025-10-03 06:46:00,,20251003,6,1,64.0,Outage Investigation,Critical,In Progress,8.34,,
