maintenance_id,date_id,asset_id,region_id,maintenance_type,downtime_hours,maintenance_cost,failure_detected,technician_team
57,20251216,239,4,Inspection,1.37,860.17,False,Central Response Team
58,20240827,144,4,Inspection,1.44,436.2,False,Bravo Reliability Team
59,20250529,143,2,Preventive,2.23,1665.85,False,Central Response Team
60,20250511,201,1,Upgrade,16.8,26679.4,False,Bravo Reliability Team
61,20241204,250,2,Preventive,3.45,2921.48,False,Alpha Field Team
62,20250509,58,1,Inspection,3.74,2474.51,False,Delta Upgrade Crew
63,20240401,181,1,Corrective,54.1,20945.25,True,Central Response Team
64,20240430,113,1,Corrective,22.93,5817.16,False,Delta Upgrade Crew
65,20240615,162,4,Corrective,40.07,7852.19,True,Central Response Team
66,20240219,66,5,Preventive,2.64,2622.43,False,Alpha Field Team
67,20240204,221,4,Inspection,1.43,1011.07,False,Alpha Field Team
68,20240130,156,4,Corrective,25.85,10595.81,False,Bravo Reliability Team
69,20250716,50,3,Corrective,9.81,14684.46,True,Bravo Reliability Team
70,20240523,151,1,Inspection,2.58,2044.79,False,Central Response Team
71,20250322,248,1,Upgrade,17.35,23413.54,False,Central Response Team
72,20240205,227,1,Inspection,3.88,725.86,False,Delta Upgrade Crew
73,20241214,229,1,Corrective,10.59,11289.04,False,Delta Upgrade Crew
74,20250624,22,3,Preventive,2.47,1690.17,False,Bravo Reliability Team
75,20240324,207,2,Preventive,3.61,3323.16,False,Central Response Team
76,20251004,133,1,Corrective,16.98,9257.79,True,Alpha Field Team
77,20240501,218,1,Upgrade,4.91,14007.01,False,Central Response Team
78,20251208,70,4,Corrective,17.28,10367.94,True,Island Logistics Team
79,20250401,137,5,Corrective,17.98,7646.85,False,Island Logistics Team
80,20240425,144,4,Corrective,13.32,12756.8,True,Alpha Field Team
81,20250427,23,3,Preventive,5.03,3566.28,False,Alpha Field Team
82,20240416,240,3,Corrective,21.65,15218.15,True,Alpha Field Team
83,20240524,57,2,Preventive,1.09,3058.17,False,Central Response Team
84,20250716,64,1,Corrective,9.52,7191.42,True,Alpha Field Team
85,20250526,149,5,Inspection,2.7,709.55,False,Delta Upgrade Crew
86,20241228,47,1,Upgrade,25.65,8285.42,False,Central Response Team
87,20240926,23,3,Corrective,29.93,4239.86,True,Central Response Team
88,20240927,122,1,Preventive,3.73,3175.47,False,Delta Upgrade Crew
89,20251223,120,4,Corrective,39.42,12507.41,True,Bravo Reliability Team
90,20250818,116,4,Corrective,19.1,15275.24,True,Bravo Reliability Team
91,20250505,197,2,Preventive,1.67,4084.49,False,Bravo Reliability Team
92,20250627,125,1,Inspection,3.82,2232.66,False,Island Logistics Team
93,20250330,155,5,Corrective,8.65,13613.79,True,Alpha Field Team
94,20240115,88,1,Corrective,16.71,8552.61,True,Bravo Reliability Team
95,20240704,12,2,Preventive,6.12,1831.17,False,Central Response Team
96,20251214,77,1,Corrective,9.3,7548.06,True,Bravo Reliability Team
97,20250428,81,5,Upgrade,8.59,8250.16,False,Island Logistics Team
98,20250408,245,1,Inspection,2.11,667.01,False,Bravo Reliability Team
99,20240129,65,1,Inspection,3.09,2271.14,False,Island Logistics Team
100,20240928,205,4,Inspection,1.31,1800.58,False,Central Response Team
101,20241006,144,4,Upgrade,10.55,16837.26,False,Central Response Team
102,20241030,202,3,Corrective,24.58,4760.15,False,Island Logistics Team
103,20250728,226,3,Preventive,4.48,2431.56,False,Central Response Team
104,20251124,93,1,Preventive,8.48,2890.98,False,Delta Upgrade Crew
105,20250722,205,4,Preventive,4.07,3278.57,False,Island Logistics Team
106,20241104,164,1,Upgrade,13.82,11588.64,False,Island Logistics Team
107,20250802,100,3,Corrective,41.08,15241.73,True,Island Logistics Team
108,20240118,124,4,Inspection,0.78,770.49,False,Bravo Reliability Team
109,20250430,208,4,Preventive,4.3,2687.53,False,Bravo Reliability Team
110,20241204,167,3,Corrective,11.19,12468.73,False,Alpha Field Team
111,20250915,216,3,Preventive,3.89,1645.62,False,Bravo Reliability Team
112,20241116,61,1,Inspection,2.62,1715.74,False,Island Logistics Team
113,20240203,196,1,Corrective,18.63,20906.41,True,Alpha Field Team
114,20251026,7,5,Corrective,37.21,4735.87,True,Island Logistics Team
115,20250119,173,4,Preventive,2.37,2582.86,False,Delta Upgrade Crew
116,20250531,74,2,Corrective,22.4,4436.86,True,Alpha Field Team
117,20250524,103,3,Inspection,3.17,1840.45,False,Bravo Reliability Team
118,20241219,171,1,Inspection,0.94,1369.71,False,Bravo Reliability Team
119,20251104,138,3,Inspection,2.71,2277.74,False,Alpha Field Team
120,20250731,201,1,Corrective,10.22,8242.71,False,Bravo Reliability Team
121,20250514,220,1,Corrective,16.15,9106.25,True,Central Response Team
122,20250905,121,4,Corrective,11.9,4006.94,False,Delta Upgrade Crew
123,20251128,116,4,Preventive,3.13,1326.49,False,Delta Upgrade Crew
124,20240331,193,3,Upgrade,11.02,10559.46,False,Bravo Reliability Team
125,20250714,176,4,Inspection,0.68,967.67,False,Bravo Reliability Team
126,20251201,89,1,Corrective,34.57,12951.25,False,Alpha Field Team
127,20250916,103,3,Upgrade,5.56,13565.52,False,Central Response Team
128,20250817,211,3,Preventive,2.75,2055.9,False,Delta Upgrade Crew
129,20240408,77,1,Preventive,3.24,2636.62,False,Island Logistics Team
130,20240702,104,3,Preventive,4.73,1091.36,False,Bravo Reliability Team
131,20250817,27,1,Upgrade,17.85,25526.66,False,Alpha Field Team
132,20240304,159,5,Preventive,5.38,4778.74,False,Bravo Reliability Team
133,20250819,224,1,Upgrade,18.75,16906.23,False,Alpha Field Team
134,20251121,216,3,Preventive,3.57,3439.01,False,Alpha Field Team
135,20240611,193,3,Inspection,3.33,1455.84,False,Bravo Reliability Team
136,20240102,190,3,Inspection,0.84,627.35,False,Bravo Reliability Team
137,20240202,182,1,Upgrade,19.5,20100.71,False,Alpha Field Team
138,20241225,209,4,Preventive,3.52,1577.13,False,Delta Upgrade Crew
139,20240312,98,3,Inspection,2.84,1454.91,False,Bravo Reliability Team
140,20250417,136,4,Inspection,1.1,1204.82,False,Bravo Reliability Team
141,20250418,113,1,Upgrade,26.73,10751.61,False,Alpha Field Team
142,20250226,204,2,Upgrade,8.46,6034.41,False,Island Logistics Team
143,20251127,20,1,Corrective,18.5,16218.75,True,Delta Upgrade Crew
144,20250905,150,4,Corrective,27.27,6881.9,True,Bravo Reliability Team
145,20251107,145,1,Inspection,2.1,1800.37,False,Island Logistics Team
146,20251021,206,3,Preventive,3.39,1788.55,False,Bravo Reliability Team
147,20240819,151,1,Corrective,43.1,14254.54,True,Island Logistics Team
148,20251212,54,1,Corrective,27.44,14100.12,True,Bravo Reliability Team
149,20240725,98,3,Upgrade,5.06,14102.2,False,Bravo Reliability Team
150,20241013,188,5,Corrective,31.28,11704.02,True,Alpha Field Team
151,20250528,231,1,Inspection,1.69,3617.1,False,Bravo Reliability Team
152,20250309,92,2,Corrective,30.99,10010.81,True,Island Logistics Team
153,20240117,144,4,Corrective,28.79,4949.06,False,Delta Upgrade Crew
154,20251124,58,1,Corrective,42.04,16957.21,False,Island Logistics Team
155,20250320,249,5,Corrective,13.09,10684.34,False,Delta Upgrade Crew
156,20250901,51,5,Inspection,2.26,2091.11,False,Island Logistics Team
157,20250911,234,5,Preventive,6.67,4875.55,False,Delta Upgrade Crew
158,20241104,231,1,Corrective,28.33,15892.98,True,Bravo Reliability Team
159,20251227,185,1,Upgrade,12.56,15454.51,False,Bravo Reliability Team
160,20250530,55,2,Corrective,20.53,10026.69,False,Bravo Reliability Team
161,20250707,51,5,Corrective,15.02,4665.21,False,Delta Upgrade Crew
162,20240605,142,1,Inspection,3.17,2182.71,False,Alpha Field Team
163,20240517,100,3,Inspection,2.79,1822.73,False,Alpha Field Team
164,20240117,227,1,Upgrade,22.88,11951.23,False,Alpha Field Team
165,20240718,226,3,Corrective,27.67,4366.04,True,Central Response Team
166,20240530,159,5,Corrective,20.89,5983.34,False,Bravo Reliability Team
167,20250610,244,3,Corrective,31.3,5180.07,True,Island Logistics Team
168,20250707,198,2,Corrective,23.57,9008.42,True,Delta Upgrade Crew
169,20240112,125,1,Inspection,4.21,811.0,False,Delta Upgrade Crew
170,20250908,242,2,Preventive,3.26,2195.82,False,Delta Upgrade Crew
171,20251105,190,3,Inspection,2.42,720.05,False,Alpha Field Team
172,20250923,109,4,Inspection,3.54,725.39,False,Island Logistics Team
173,20240204,223,1,Inspection,3.5,1927.58,False,Central Response Team
174,20250102,90,2,Corrective,4.57,6085.7,False,Alpha Field Team
175,20250129,44,5,Inspection,3.92,2006.3,False,Central Response Team
176,20251112,222,5,Corrective,30.91,14042.96,True,Delta Upgrade Crew
177,20250329,71,1,Corrective,37.64,22940.91,True,Alpha Field Team
178,20251109,138,3,Preventive,5.48,1806.23,False,Delta Upgrade Crew
179,20240221,67,2,Corrective,21.8,11653.37,True,Alpha Field Team
180,20240513,79,1,Upgrade,19.19,26623.09,False,Delta Upgrade Crew
181,20240506,177,1,Inspection,3.0,1136.43,False,Central Response Team
182,20240629,91,5,Upgrade,17.81,29381.57,False,Central Response Team
183,20240621,6,1,Corrective,28.47,16574.11,True,Central Response Team
184,20241116,159,5,Corrective,26.36,14645.52,True,Central Response Team
185,20240516,13,3,Preventive,7.61,3764.22,False,Delta Upgrade Crew
186,20250617,18,1,Preventive,5.57,4437.21,False,Delta Upgrade Crew
187,20241203,86,1,Preventive,4.32,4191.21,False,Central Response Team
188,20240319,65,1,Corrective,23.7,12521.2,True,Bravo Reliability Team
189,20240128,115,2,Inspection,2.85,631.8,False,Central Response Team
190,20250216,69,4,Preventive,6.26,1926.44,False,Alpha Field Team
191,20241005,87,2,Upgrade,14.4,7490.05,False,Delta Upgrade Crew
192,20250320,216,3,Preventive,2.45,3107.43,False,Alpha Field Team
193,20240411,197,2,Corrective,11.94,6103.09,True,Alpha Field Team
194,20241103,10,3,Preventive,2.61,2790.11,False,Alpha Field Team
195,20240321,133,1,Preventive,8.38,2920.19,False,Bravo Reliability Team
196,20240402,56,2,Corrective,26.02,11159.68,True,Delta Upgrade Crew
197,20250810,43,1,Inspection,3.38,2084.81,False,Island Logistics Team
198,20250730,35,2,Preventive,2.23,2203.03,False,Bravo Reliability Team
199,20240218,106,1,Inspection,1.05,2147.17,False,Central Response Team
200,20240511,199,1,Inspection,0.97,947.72,False,Delta Upgrade Crew
201,20240829,82,2,Inspection,1.39,1123.48,False,Central Response Team
202,20240409,45,4,Corrective,33.92,15213.32,True,Island Logistics Team
203,20250708,147,1,Upgrade,19.32,16281.22,False,Delta Upgrade Crew
204,20250412,220,1,Upgrade,28.35,21772.63,False,Bravo Reliability Team
205,20240114,21,3,Inspection,2.86,1527.5,False,Island Logistics Team
206,20250312,148,3,Inspection,1.12,875.71,False,Island Logistics Team
207,20241209,64,1,Preventive,3.15,1517.79,False,Delta Upgrade Crew
208,20241021,137,5,Upgrade,11.5,16871.18,False,Delta Upgrade Crew
209,20240229,234,5,Inspection,1.23,562.42,False,Delta Upgrade Crew
210,20250531,61,1,Corrective,24.48,21749.52,True,Island Logistics Team
211,20250530,60,3,Corrective,11.16,7009.58,False,Bravo Reliability Team
212,20250126,217,2,Inspection,0.5,1177.9,False,Bravo Reliability Team
213,20250429,88,1,Corrective,41.01,5938.7,True,Alpha Field Team
214,20240411,18,1,Inspection,0.81,1155.58,False,Bravo Reliability Team
215,20250418,243,4,Corrective,25.17,6668.75,True,Alpha Field Team
216,20240926,126,1,Corrective,41.04,9533.35,False,Island Logistics Team
217,20240325,179,1,Corrective,38.77,12366.09,True,Island Logistics Team
218,20241009,45,4,Preventive,3.9,2701.95,False,Bravo Reliability Team
219,20240224,122,1,Preventive,1.97,3729.95,False,Bravo Reliability Team
220,20251012,244,3,Upgrade,19.75,15651.19,False,Delta Upgrade Crew
221,20240308,131,5,Inspection,0.7,1749.6,False,Island Logistics Team
222,20240730,140,2,Preventive,1.64,2756.12,False,Central Response Team
223,20241117,249,5,Corrective,43.1,15657.82,True,Island Logistics Team
224,20250902,230,5,Corrective,26.83,8449.61,False,Delta Upgrade Crew
225,20251017,169,1,Inspection,3.35,1482.53,False,Alpha Field Team
226,20240531,24,2,Preventive,5.45,2448.85,False,Central Response Team
227,20250121,116,4,Corrective,20.48,13000.6,True,Island Logistics Team
228,20241124,95,2,Upgrade,9.74,12896.36,False,Island Logistics Team
229,20240126,152,4,Upgrade,15.55,14063.18,False,Delta Upgrade Crew
230,20240309,105,3,Corrective,23.55,8984.33,True,Delta Upgrade Crew
231,20250617,13,3,Inspection,1.82,1349.12,False,Island Logistics Team
232,20241209,116,4,Preventive,3.41,3397.27,False,Delta Upgrade Crew
233,20240203,32,1,Preventive,3.12,1866.87,False,Delta Upgrade Crew
234,20241228,9,1,Corrective,35.49,10135.82,True,Central Response Team
235,20250628,73,5,Corrective,12.83,11997.99,True,Bravo Reliability Team
236,20241122,7,5,Inspection,1.31,763.29,False,Alpha Field Team
237,20251217,185,1,Upgrade,22.64,8718.32,False,Island Logistics Team
238,20250826,193,3,Inspection,3.18,885.9,False,Delta Upgrade Crew
239,20241017,196,1,Upgrade,9.65,17166.09,False,Island Logistics Team
240,20250401,61,1,Corrective,39.58,11613.61,False,Alpha Field Team
241,20251108,176,4,Upgrade,14.23,13431.82,False,Delta Upgrade Crew
242,20251104,150,4,Preventive,5.62,3615.27,False,Central Response Team
243,20250123,26,2,Upgrade,9.36,7875.43,False,Alpha Field Team
244,20241013,234,5,Inspection,1.98,1344.41,False,Island Logistics Team
245,20240403,86,1,Corrective,20.65,21986.48,True,Delta Upgrade Crew
246,20240310,71,1,Corrective,26.68,16575.71,True,Bravo Reliability Team
247,20240914,153,1,Inspection,2.39,456.97,False,Delta Upgrade Crew
248,20240526,144,4,Corrective,8.05,11142.98,False,Island Logistics Team
249,20241025,162,4,Inspection,2.0,728.07,False,Delta Upgrade Crew
250,20250819,192,1,Upgrade,18.17,14833.33,False,Alpha Field Team
251,20241029,116,4,Corrective,26.2,7004.42,True,Central Response Team
252,20250909,53,5,Inspection,3.14,1704.71,False,Central Response Team
253,20250722,177,1,Corrective,32.39,9570.92,True,Central Response Team
254,20250214,183,2,Corrective,5.54,9631.49,False,Delta Upgrade Crew
255,20240509,209,4,Corrective,19.82,11227.95,True,Island Logistics Team
256,20250215,176,4,Preventive,4.19,1380.18,False,Island Logistics Team
257,20241007,167,3,Corrective,11.73,4224.49,True,Bravo Reliability Team
258,20251214,51,5,Corrective,28.89,9031.94,True,Delta Upgrade Crew
259,20240407,81,5,Inspection,4.53,1872.06,False,Island Logistics Team
260,20251130,99,3,Upgrade,7.38,9871.17,False,Delta Upgrade Crew
261,20240407,159,5,Corrective,32.47,6058.91,True,Island Logistics Team
262,20240701,44,5,Upgrade,8.95,18828.32,False,Alpha Field Team
263,20241202,144,4,Corrective,17.21,9562.7,True,Bravo Reliability Team
264,20250918,177,1,Preventive,7.6,4230.21,False,Central Response Team
265,20241219,37,1,Upgrade,9.9,23779.27,False,Delta Upgrade Crew
266,20250508,36,3,Preventive,3.67,3130.8,False,Delta Upgrade Crew
267,20251202,105,3,Inspection,1.02,1536.18,False,Island Logistics Team
268,20240613,202,3,Upgrade,5.92,15682.49,False,Central Response Team
269,20250220,121,4,Preventive,3.21,1764.64,False,Central Response Team
270,20251120,132,1,Upgrade,14.0,7048.71,False,Alpha Field Team
271,20240716,149,5,Inspection,2.88,750.16,False,Delta Upgrade Crew
272,20251124,196,1,Upgrade,5.56,15466.67,False,Delta Upgrade Crew
273,20251012,37,1,Upgrade,16.39,32907.81,False,Alpha Field Team
274,20250808,169,1,Inspection,0.94,2416.27,False,Island Logistics Team
275,20240223,20,1,Inspection,4.24,2514.59,False,Alpha Field Team
276,20241020,148,3,Inspection,2.47,792.65,False,Island Logistics Team
277,20240628,216,3,Preventive,2.58,1102.18,False,Alpha Field Team
278,20241106,56,2,Preventive,1.95,1305.93,False,Delta Upgrade Crew
279,20250911,203,4,Corrective,8.11,11120.79,False,Central Response Team
280,20251223,92,2,Corrective,11.14,6871.38,False,Alpha Field Team
281,20240128,147,1,Preventive,2.96,3041.85,False,Delta Upgrade Crew
282,20250802,224,1,Inspection,2.97,1232.06,False,Central Response Team
283,20241019,20,1,Corrective,33.54,8331.16,False,Bravo Reliability Team
284,20240303,185,1,Inspection,0.98,2272.36,False,Central Response Team
285,20240730,165,3,Preventive,4.9,2286.41,False,Alpha Field Team
286,20240126,48,2,Corrective,8.31,11215.96,True,Island Logistics Team
287,20240525,172,2,Preventive,3.66,2975.1,False,Alpha Field Team
288,20240120,100,3,Upgrade,13.16,18332.61,False,Central Response Team
289,20250108,129,3,Inspection,2.69,1084.2,False,Central Response Team
290,20251206,53,5,Preventive,5.17,2747.64,False,Delta Upgrade Crew
291,20240802,90,2,Preventive,1.38,2012.17,False,Island Logistics Team
292,20240213,15,3,Corrective,11.39,9663.5,True,Bravo Reliability Team
293,20240625,207,2,Upgrade,4.69,17097.66,False,Delta Upgrade Crew
294,20250701,10,3,Upgrade,14.08,15933.92,False,Delta Upgrade Crew
295,20240926,231,1,Corrective,32.93,24258.74,True,Delta Upgrade Crew
296,20240319,223,1,Corrective,35.6,10017.88,True,Alpha Field Team
297,20240629,25,2,Upgrade,9.12,6045.66,False,Bravo Reliability Team
298,20251003,72,4,Preventive,6.66,3748.37,False,Island Logistics Team
299,20240219,61,1,Corrective,53.89,14265.86,True,Bravo Reliability Team
300,20241122,115,2,Corrective,7.24,5289.84,True,Alpha Field Team
301,20240917,247,4,Preventive,4.61,1062.99,False,Central Response Team
302,20251221,152,4,Upgrade,7.75,6772.43,False,Bravo Reliability Team
303,20241007,112,2,Preventive,1.56,2068.66,False,Bravo Reliability Team
304,20240424,245,1,Preventive,4.43,2329.93,False,Delta Upgrade Crew
305,20250904,67,2,Inspection,0.89,1452.2,False,Delta Upgrade Crew
306,20251004,144,4,Inspection,3.72,1226.27,False,Alpha Field Team
307,20240821,125,1,Corrective,26.82,15682.91,False,Central Response Team
308,20250519,210,1,Corrective,39.55,20121.82,True,Island Logistics Team
309,20240701,99,3,Upgrade,19.71,19523.43,False,Alpha Field Team
310,20250211,179,1,Inspection,1.36,2602.67,False,Alpha Field Team
311,20241014,124,4,Inspection,2.8,1841.83,False,Island Logistics Team
312,20240619,192,1,Upgrade,12.95,15669.58,False,Bravo Reliability Team
313,20240827,82,2,Upgrade,12.17,9113.79,False,Alpha Field Team
314,20240307,41,1,Corrective,16.87,14800.46,True,Bravo Reliability Team
315,20250713,183,2,Inspection,0.43,1002.71,False,Alpha Field Team
316,20240107,104,3,Inspection,0.52,982.87,False,Bravo Reliability Team
317,20240419,185,1,Preventive,5.15,5505.47,False,Central Response Team
318,20240417,80,4,Upgrade,6.5,16109.86,False,Delta Upgrade Crew
319,20250327,53,5,Preventive,2.01,2212.62,False,Central Response Team
320,20240810,1,4,Upgrade,18.99,11790.63,False,Delta Upgrade Crew
321,20240128,142,1,Corrective,24.75,15356.37,True,Alpha Field Team
322,20250521,15,3,Inspection,2.16,1315.49,False,Alpha Field Team
323,20251229,90,2,Corrective,8.4,3969.39,False,Alpha Field Team
324,20240806,59,5,Corrective,12.55,17731.66,True,Bravo Reliability Team
325,20250801,173,4,Corrective,17.68,4449.34,False,Central Response Team
326,20241106,73,5,Inspection,3.1,782.36,False,Central Response Team
327,20240727,12,2,Upgrade,18.24,19369.52,False,Alpha Field Team
328,20241230,77,1,Inspection,0.84,1553.32,False,Bravo Reliability Team
329,20250401,143,2,Corrective,18.68,4147.08,True,Island Logistics Team
330,20250222,178,4,Upgrade,8.79,11621.17,False,Bravo Reliability Team
331,20250421,1,4,Preventive,2.94,3178.7,False,Delta Upgrade Crew
332,20251111,232,4,Preventive,4.96,3195.99,False,Central Response Team
333,20240401,89,1,Inspection,2.43,1709.34,False,Delta Upgrade Crew
334,20250507,205,4,Corrective,9.54,8834.22,True,Alpha Field Team
335,20250814,29,5,Preventive,6.64,3420.7,False,Island Logistics Team
336,20240116,190,3,Preventive,3.71,2537.04,False,Delta Upgrade Crew
337,20240404,111,1,Preventive,4.2,2102.02,False,Delta Upgrade Crew
338,20240526,168,3,Inspection,0.47,1600.68,False,Alpha Field Team
339,20241103,5,1,Inspection,2.36,804.62,False,Delta Upgrade Crew
340,20241107,2,1,Corrective,24.26,24558.95,True,Bravo Reliability Team
341,20240731,248,1,Corrective,43.94,14952.57,True,Bravo Reliability Team
342,20240524,194,1,Corrective,25.38,11950.01,True,Bravo Reliability Team
343,20250630,50,3,Corrective,21.96,4444.64,True,Island Logistics Team
344,20240523,244,3,Preventive,6.5,1725.06,False,Bravo Reliability Team
345,20250531,113,1,Upgrade,13.32,18326.27,False,Alpha Field Team
346,20240208,154,1,Inspection,1.08,2470.57,False,Central Response Team
347,20240813,230,5,Preventive,2.47,4626.71,False,Central Response Team
348,20251017,241,2,Inspection,1.84,527.62,False,Delta Upgrade Crew
349,20240420,193,3,Corrective,21.01,12294.3,False,Central Response Team
350,20250210,231,1,Corrective,37.56,22387.32,False,Central Response Team
351,20250401,202,3,Preventive,4.33,2038.85,False,Central Response Team
352,20241105,204,2,Inspection,1.12,1144.48,False,Central Response Team
353,20250916,171,1,Corrective,30.5,13590.85,False,Central Response Team
354,20240615,18,1,Upgrade,19.3,28136.68,False,Island Logistics Team
355,20240107,191,1,Preventive,2.58,2276.85,False,Central Response Team
356,20250722,111,1,Upgrade,9.37,11060.27,False,Bravo Reliability Team
357,20250306,248,1,Corrective,48.69,19060.06,True,Delta Upgrade Crew
358,20251215,81,5,Corrective,16.75,6648.32,False,Delta Upgrade Crew
359,20240325,189,5,Corrective,25.38,11453.6,True,Alpha Field Team
360,20240511,49,3,Inspection,3.39,594.85,False,Central Response Team
361,20250303,208,4,Inspection,1.92,1681.01,False,Alpha Field Team
362,20250108,57,2,Inspection,1.4,824.51,False,Delta Upgrade Crew
363,20250521,45,4,Corrective,25.03,9245.89,False,Central Response Team
364,20240804,191,1,Preventive,4.39,1636.08,False,Delta Upgrade Crew
365,20240122,193,3,Upgrade,22.76,12105.38,False,Bravo Reliability Team
366,20250611,235,3,Inspection,2.43,1064.35,False,Bravo Reliability Team
367,20251207,67,2,Inspection,1.16,1421.63,False,Bravo Reliability Team
368,20250516,205,4,Inspection,1.65,814.68,False,Central Response Team
369,20250108,38,3,Corrective,22.37,6347.79,False,Delta Upgrade Crew
370,20250927,35,2,Preventive,1.88,3060.3,False,Bravo Reliability Team
371,20250212,235,3,Upgrade,4.86,10428.24,False,Island Logistics Team
372,20240616,97,2,Corrective,7.97,4975.75,True,Alpha Field Team
373,20240519,46,4,Corrective,30.98,9669.4,True,Bravo Reliability Team
374,20250515,20,1,Corrective,33.14,16259.62,False,Delta Upgrade Crew
375,20240319,14,3,Inspection,1.83,932.57,False,Delta Upgrade Crew
376,20250516,123,3,Corrective,13.54,4167.13,False,Central Response Team
377,20240622,37,1,Inspection,3.13,2682.9,False,Delta Upgrade Crew
378,20250918,215,4,Upgrade,9.75,15411.17,False,Central Response Team
379,20251210,171,1,Upgrade,8.94,23133.85,False,Alpha Field Team
380,20240628,169,1,Preventive,7.77,4778.3,False,Central Response Team
381,20250331,154,1,Inspection,3.22,1064.76,False,Island Logistics Team
382,20251103,89,1,Corrective,25.85,16080.37,True,Delta Upgrade Crew
383,20250519,232,4,Corrective,33.6,4951.41,True,Delta Upgrade Crew
384,20240922,231,1,Upgrade,29.21,32185.1,False,Central Response Team
385,20250531,34,5,Corrective,17.58,8378.61,False,Bravo Reliability Team
386,20241125,133,1,Corrective,18.02,5678.05,True,Island Logistics Team
387,20240513,152,4,Inspection,2.34,1069.92,False,Alpha Field Team
388,20250809,220,1,Upgrade,21.41,28655.33,False,Delta Upgrade Crew
